X,Y,Minisector,Fastest
1092.0435962075524,-1210.2431287024203,0,MAG
1017.0,-1231.0,0,MAG
923.60869339469,-1256.2183447397554,0,MAG
861.0,-1273.0,0,MAG
762.2180144420229,-1299.5193377995338,0,MAG
530.0,-1362.0,0,MAG
487.311688298923,-1373.528845527689,0,MAG
382.2162094606949,-1402.1676389743716,0,MAG
308.509330551717,-1422.0630685472386,0,MAG
290.0,-1427.0,0,MAG
95.0,-1479.0,0,MAG
-100.96496258113675,-1532.5666763203806,0,MAG
-150.0,-1546.0,0,MAG
-250.06661591994242,-1573.2223140169708,0,MAG
-364.0,-1604.0,0,MAG
-374.6844108630809,-1606.8916883469728,0,MAG
-645.0,-1680.0,0,MAG
-752.6983292965851,-1708.215723047853,1,MAG
-778.0,-1715.0,1,MAG
-943.0,-1760.0,1,MAG
-1033.6987656922472,-1784.5652930321125,1,MAG
-1208.0,-1832.0,1,MAG
-1234.7963527063534,-1839.443453801121,1,MAG
-1390.4440013009537,-1883.0580353461198,1,MAG
-1419.0,-1891.0,1,MAG
-1506.0,-1915.0,1,MAG
-1598.1644211085406,-1940.4271156414204,1,MAG
-1737.0,-1979.0,1,MAG
-1869.0,-2016.0,1,MAG
-1900.1115126296336,-2024.6252433503994,1,MAG
-2155.001443170761,-2094.702522849415,1,MAG
-2167.0,-2098.0,1,MAG
-2348.965472529402,-2148.1994431381345,2,PER
-2449.0,-2174.0,2,PER
-2465.274320584095,-2178.01252055578,2,PER
-2684.0,-2229.0,2,PER
-2687.844785415036,-2229.803657475613,2,PER
-2734.4985061449183,-2238.1750627593456,2,PER
-2775.1100616311505,-2240.8220329128267,2,PER
-2779.0,-2241.0,2,PER
-2867.0,-2243.0,2,PER
-2913.8463143580943,-2240.783006738114,2,PER
-2974.0,-2233.0,2,PER
-3036.9671288213176,-2217.5839230482575,2,PER
-3048.0,-2214.0,2,PER
-3105.385224588738,-2190.4064371640616,2,PER
-3122.0,-2182.0,2,PER
-3168.965085900069,-2154.1343475420563,2,PER
-3196.0,-2135.0,2,PER
-3246.4424125742003,-2092.3327165597625,2,PER
-3249.0,-2090.0,2,PER
-3298.876386751618,-2032.9290011380103,2,PER
-3302.0,-2028.0,2,PER
-3359.0,-1927.0,2,PER
-3378.028416550497,-1891.2467730304554,2,PER
-3390.0,-1867.0,2,PER
-3403.9444135742233,-1840.7396683315526,2,PER
-3426.0,-1800.0,2,PER
-3450.921880858442,-1755.130686342763,2,PER
-3465.0,-1730.0,2,PER
-3500.8973304023957,-1666.7425485560607,2,PER
-3508.0,-1655.0,2,PER
-3574.0,-1556.0,2,PER
-3581.845435631044,-1544.5743025949278,3,PER
-3641.0,-1459.0,3,PER
-3676.0,-1409.0,3,PER
-3709.702467823949,-1360.0207218333567,3,PER
-3755.0,-1293.0,3,PER
-3798.7796730952386,-1227.4553613690214,3,PER
-3870.0,-1120.0,3,PER
-3895.4784215694767,-1081.4179995292254,3,PER
-4000.0,-923.0,3,PER
-4002.346526540426,-919.4891356732618,3,PER
-4051.785216467951,-846.1987793958372,3,PER
-4076.0,-810.0,3,PER
-4183.730289268201,-646.0325539618383,3,PER
-4189.0,-638.0,3,PER
-4270.407011423654,-514.0092160056238,3,PER
-4298.0,-472.0,3,PER
-4369.892421796849,-362.5709711971131,3,PER
-4442.0,-253.0,3,PER
-4467.415378432318,-214.5318508403536,3,PER
-4544.0,-99.0,4,MAG
-4577.2011972154305,-48.64728651846495,4,MAG
-4639.0,45.0,4,MAG
-4642.039106657646,49.58726536643002,4,MAG
-4717.96232373496,164.88272822736124,4,MAG
-4734.0,190.0,4,MAG
-4818.350789588844,324.28712316872503,4,MAG
-4870.0,407.0,4,MAG
-4907.955675399698,467.59774014372164,4,MAG
-4926.0,498.0,4,MAG
-5057.798366520054,732.583837365551,4,MAG
-5070.0,755.0,4,MAG
-5118.11977029702,844.9165743011865,4,MAG
-5144.0,894.0,4,MAG
-5191.368091387646,984.7441535767491,4,MAG
-5210.0,1021.0,4,MAG
-5263.817244152414,1127.728994897402,4,MAG
-5275.0,1150.0,4,MAG
-5336.193165018263,1271.596956423688,4,MAG
-5362.0,1323.0,4,MAG
-5423.64860088239,1446.3219614602626,5,MAG
-5435.0,1469.0,5,MAG
-5479.0,1557.0,5,MAG
-5511.421345836934,1623.1074214739763,5,MAG
-5568.967956101928,1743.103967459731,5,MAG
-5587.0,1781.0,5,MAG
-5625.014772623499,1861.2574663940518,5,MAG
-5658.0,1931.0,5,MAG
-5714.622024581238,2050.3774026995084,5,MAG
-5734.0,2091.0,5,MAG
-5773.631739527171,2173.802948220574,5,MAG
-5778.0,2183.0,5,MAG
-5868.011423269031,2375.3045364414043,5,MAG
-5915.0,2476.0,5,MAG
-5942.357014291326,2534.1997300291027,5,MAG
-5989.0,2631.0,5,MAG
-6019.192322229987,2692.4720691197185,5,MAG
-6099.730008409659,2853.6411090301103,5,MAG
-6104.0,2862.0,5,MAG
-6144.0,2938.0,6,MAG
-6217.875836719967,3063.349047300851,6,MAG
-6320.137591524881,3226.5115023429526,6,MAG
-6335.0,3250.0,6,MAG
-6378.452746504198,3317.7829594952186,6,MAG
-6422.0,3381.0,6,MAG
-6505.125302769721,3496.168278305305,6,MAG
-6556.0,3563.0,6,MAG
-6712.0,3748.0,6,MAG
-6749.232838847838,3789.2730658312666,6,MAG
-6819.0,3864.0,6,MAG
-7068.8472633122565,4121.787494321983,6,MAG
-7125.0,4179.0,6,MAG
-7172.597410621711,4227.029193009359,6,MAG
-7224.167868947073,4276.775244972567,6,MAG
-7246.0,4298.0,7,MAG
-7341.0,4391.0,7,MAG
-7404.621392504156,4453.228845923821,7,MAG
-7465.0,4512.0,7,MAG
-7549.0,4593.0,7,MAG
-7577.137185057919,4620.02324398899,7,MAG
-7721.695256004156,4758.40372015739,7,MAG
-7737.0,4773.0,7,MAG
-7810.990612639103,4843.132501702571,7,MAG
-7867.0,4896.0,7,MAG
-7943.357708164988,4968.536493591112,7,MAG
-7947.0,4972.0,7,MAG
-8005.0,5027.0,7,MAG
-8008.208041386654,5029.959697883136,7,MAG
-8019.0,5040.0,7,MAG
-8058.19434345237,5077.8603371122945,7,MAG
-8116.0,5134.0,7,MAG
-8125.150372990545,5142.879946599699,7,MAG
-8151.50501984311,5168.391304930429,7,MAG
-8168.0,5196.0,7,MAG
-8207.370939653096,5264.929556075843,7,MAG
-8209.0,5268.0,7,MAG
-8223.056130704177,5301.064560800683,7,MAG
-8227.0,5323.0,7,MAG
-8230.320714239047,5341.768419827764,7,MAG
-8233.0,5363.0,7,MAG
-8233.455639263393,5378.052044447354,7,MAG
-8223.0,5433.0,7,MAG
-8212.02883432098,5456.446332410689,7,MAG
-8209.0,5462.0,7,MAG
-8196.0,5483.0,7,MAG
-8194.916411092707,5484.451937144008,7,MAG
-8166.0,5513.0,8,PER
-8156.228050630209,5520.8836783728,8,PER
-8133.478695429662,5537.108819879552,8,PER
-8129.0,5540.0,8,PER
-8110.175967895074,5551.155870256725,8,PER
-8103.0,5555.0,8,PER
-8078.4300452383095,5566.037162175318,8,PER
-8054.0,5574.0,8,PER
-8013.3131522711565,5585.463770514868,8,PER
-8000.0,5589.0,8,PER
-7957.0659129477735,5599.080932189497,8,PER
-7930.0,5604.0,8,PER
-7928.684059666,5604.225776665693,8,PER
-7865.0,5614.0,8,PER
-7858.192400110076,5614.9602894205045,8,PER
-7794.721398965589,5623.636615858939,8,PER
-7792.0,5624.0,8,PER
-7758.3750649027925,5628.411361450957,8,PER
-7707.528686021993,5634.591228719504,8,PER
-7678.0,5638.0,8,PER
-7607.0,5646.0,8,PER
-7594.213925149762,5647.385773514256,8,PER
-7506.962572048317,5655.35642974656,8,PER
-7499.0,5656.0,8,PER
-7462.810934984698,5658.914053270664,8,PER
-7405.0,5663.0,8,PER
-7265.0,5672.0,8,PER
-7231.425906311721,5673.966207943623,8,PER
-7150.975191369919,5676.885809107083,8,PER
-7129.0,5677.0,8,PER
-7110.0,5677.0,8,PER
-7056.770873759068,5677.40157600795,8,PER
-6944.0,5679.0,8,PER
-6939.798895193978,5679.019051135395,8,PER
-6838.0,5678.0,8,PER
-6831.063691355039,5677.835646212921,8,PER
-6645.772674207292,5672.258313311548,8,PER
-6638.0,5672.0,8,PER
-6554.432244242553,5667.820443356095,8,PER
-6520.0,5665.0,8,PER
-6339.185565253366,5650.35244802303,9,PER
-6287.0,5646.0,9,PER
-6231.155507232415,5640.970661742132,9,PER
-6185.0,5636.0,9,PER
-6148.143196182615,5631.93015014542,9,PER
-6009.614694579931,5615.942996712228,9,PER
-6002.0,5615.0,9,PER
-5895.0,5601.0,9,PER
-5830.587689656864,5592.146479808702,9,PER
-5691.0,5571.0,9,PER
-5494.404164934012,5538.858929883122,9,PER
-5465.0,5534.0,9,PER
-5377.914792396799,5519.451846831003,9,PER
-5320.0,5509.0,9,PER
-5260.820404754759,5498.167936316917,9,PER
-5174.0,5482.0,9,PER
-5047.9016173200425,5457.551752969949,9,PER
-5040.0,5456.0,9,PER
-4902.021235367976,5428.635436602153,9,PER
-4874.0,5423.0,9,PER
-4585.40157729542,5364.339900668625,10,PER
-4505.0,5348.0,10,PER
-4464.380312441801,5339.792766621944,10,PER
-4379.0,5323.0,10,PER
-4309.659364300782,5309.360299701249,10,PER
-4146.291368029669,5277.067402716614,10,PER
-4101.0,5268.0,10,PER
-4017.682347010294,5251.111448351085,10,PER
-3972.0,5242.0,10,PER
-3712.0,5192.0,10,PER
-3703.5171889936278,5190.441342967122,10,PER
-3570.5261464232735,5169.086701644072,10,PER
-3529.0,5163.0,10,PER
-3310.0,5130.0,10,PER
-3284.5560792311812,5126.344056595563,10,PER
-3123.0,5104.0,10,PER
-2951.0,5080.0,11,PER
-2941.334010407687,5078.669104899152,11,PER
-2673.0,5043.0,11,PER
-2443.8759301100035,5017.395321561569,11,PER
-2281.734388755961,5002.477411633485,11,PER
-2196.0,4995.0,11,PER
-2143.9256559145883,4990.730867878107,11,PER
-2068.0880864132146,4985.987691086998,11,PER
-1989.0,4983.0,11,PER
-1855.4571027361292,4978.636226927263,11,PER
-1809.0,4977.0,11,PER
-1705.0,4973.0,11,PER
-1553.5165805573267,4968.015918511166,11,PER
-1451.0,4965.0,11,PER
-1308.2799202733315,4961.415107813853,12,MAG
-1291.0,4961.0,12,MAG
-1211.1668966482312,4959.031128757366,12,MAG
-1130.0,4957.0,12,MAG
-947.6090099049766,4952.452202534891,12,MAG
-887.0,4951.0,12,MAG
-820.0190970301969,4949.530533102125,12,MAG
-805.0,4949.0,12,MAG
-683.7612739483917,4942.936269130386,12,MAG
-642.0,4939.0,12,MAG
-569.9215457761096,4926.941834372721,12,MAG
-566.0,4926.0,12,MAG
-501.645454545606,4905.710366745878,12,MAG
-492.0,4902.0,12,MAG
-443.0,4879.0,12,MAG
-424.2608442153358,4867.794225859806,12,MAG
-346.0,4815.0,12,MAG
-343.2985764051082,4813.09743015355,12,MAG
-305.6044970228494,4776.256913213698,12,MAG
-298.0,4761.0,12,MAG
-272.09896444379973,4706.628845356453,12,MAG
-268.0,4697.0,12,MAG
-256.20967040655967,4663.289087289278,12,MAG
-249.65951067076784,4615.097431331521,12,MAG
-249.0,4608.0,12,MAG
-245.64939409424264,4565.119080358623,12,MAG
-245.0,4547.0,12,MAG
-245.1477976349579,4525.2379402007,12,MAG
-247.0,4502.0,12,MAG
-254.9519005388417,4457.585126355125,12,MAG
-261.0,4433.0,12,MAG
-274.7230432659913,4394.5617000723205,12,MAG
-278.0,4387.0,12,MAG
-303.088757644811,4332.5094079769015,12,MAG
-330.8403513217641,4275.777145565039,12,MAG
-338.0,4262.0,12,MAG
-350.4838909368946,4239.716488453008,12,MAG
-371.0,4209.0,13,PER
-385.0076847023358,4188.614808106238,13,PER
-417.0,4144.0,13,PER
-481.45109360063026,4061.1776421020027,13,PER
-501.0,4037.0,13,PER
-543.3585072607816,3987.792564150858,13,PER
-568.0,3962.0,13,PER
-647.0734213119391,3884.35004903438,13,PER
-673.0,3861.0,13,PER
-688.0,3848.0,13,PER
-739.0073383987082,3806.1987480618395,13,PER
-839.0,3734.0,13,PER
-916.7060297136877,3686.292762040626,13,PER
-948.0,3668.0,13,PER
-1001.2401094677605,3637.5558854320384,13,PER
-1055.0,3611.0,13,PER
-1187.9054233555362,3552.6050881073775,13,PER
-1213.0,3542.0,13,PER
-1305.1994785587858,3505.330068211995,13,PER
-1395.0,3482.0,13,PER
-1523.696137478478,3451.8011674753384,13,PER
-1670.9494069251173,3419.5164315427965,13,PER
-1689.0,3416.0,13,PER
-1804.0,3401.0,13,PER
-1900.489021092703,3395.4466516162074,14,MAG
-1948.0,3394.0,14,MAG
-2085.709345272276,3397.370264557104,14,MAG
-2095.0,3398.0,14,MAG
-2401.8256466532002,3427.3159404405333,14,MAG
-2408.0,3428.0,14,MAG
