Minisector,PIA,VER,Fastest
0,289.38222248296296,288.8294907851852,PIA
1,296.52481834713444,298.96857142857147,VER
2,167.51651496320832,169.4170819212849,VER
3,221.87008159815628,226.38459893048127,VER
4,270.53243821883194,271.4902411730029,VER
5,292.8957123413333,290.14207920044373,PIA
6,297.5039356444444,297.5060204081633,VER
7,174.9564614908121,155.59531945139491,PIA
8,124.4025971723034,129.9501677508123,VER
9,250.1613565511111,252.8892539539384,VER
10,288.68512991525733,289.7185317460318,VER
11,300.6843866495548,306.4182602938026,VER
12,146.20685438203333,144.33021216139798,PIA
13,193.0973128752171,200.64596142848131,VER
14,254.26812698324883,258.7111557279588,VER
15,200.57119039459573,200.96407374587343,VER
16,216.9397613277091,226.74523555352062,VER
17,214.95714614760686,219.9262111801242,VER
18,243.70749363580953,248.28767850827066,VER
19,279.10839557078054,279.67968067878786,VER
20,296.3451781746939,297.8379761904762,VER
21,264.41037382858417,260.1534678717878,PIA
22,226.34527375447993,224.63045912018143,PIA
23,203.92102048979592,209.17384272737903,VER
24,263.2673698976312,267.0397359474808,VER
