Minisector,RIC,GAS,Fastest
0,285.1137153154638,286.08754642719106,GAS
1,293.8371326117647,287.37241972705885,RIC
2,159.5436183288548,157.6686975950599,RIC
3,215.4969349983976,220.83842927238095,GAS
4,269.6846464646465,270.8276133868161,GAS
5,294.25464517727386,292.18223641650354,RIC
6,302.48362661925927,296.50828107488326,RIC
7,173.9666740892659,167.6038419956989,RIC
8,104.96796077661742,120.55557453639835,GAS
9,247.34411187916908,245.6550775328254,RIC
10,285.4227664197531,284.57841683746034,RIC
11,298.28828571428573,293.71662083555555,RIC
12,147.49655493930425,148.88494377031282,GAS
13,177.83985665580056,189.4026407402198,GAS
14,253.49688898165417,253.1881008193683,RIC
15,197.80849661754388,205.25769969097144,GAS
16,206.05195416540212,212.78782942371984,GAS
17,196.40791932307692,208.58710712,GAS
18,228.8634086690909,241.82852931795992,GAS
19,272.3872653733333,274.19664389995154,GAS
20,292.909649859944,290.7654165485714,RIC
21,247.29313617608466,256.2775554350705,GAS
22,213.61083810920636,219.48606961986889,GAS
23,201.01884537542944,203.77793836312378,GAS
24,259.4255558219549,260.8855112887299,GAS
25,,278.1562496,GAS
