Minisector,SAI,PER,Fastest
0,290.40326953693005,299.325500916934,PER
1,294.3375730196079,307.54608637291005,PER
2,158.94853865980363,159.44595715974722,PER
3,217.9918431799846,216.95819240911976,SAI
4,270.3504772931696,276.55997745357575,PER
5,292.1171865109815,303.75707398327586,PER
6,298.8721510269733,312.95347243636365,PER
7,156.03860987870968,150.64307257622224,SAI
8,123.07914447050506,123.56758163057607,PER
9,247.99310429926436,252.13819983102798,PER
10,288.7547484894942,296.75253752142856,PER
11,301.1523101780494,311.16060571631743,PER
12,148.06569709234842,131.98364874539814,SAI
13,192.8909352066116,186.0629851753394,SAI
14,255.67492261137696,249.0671318110476,SAI
15,196.49703683483256,195.03792931272812,SAI
16,211.31002521104864,208.9577622663609,SAI
17,201.890126810386,206.33040330401465,PER
18,237.6091646001803,242.0316661587318,PER
19,276.05539126417113,277.76743278814814,PER
20,294.21297633523807,291.28186271372545,SAI
21,260.46071220638413,256.4058289248887,SAI
22,220.30094734689519,214.54619949272316,SAI
23,203.60217593803358,203.20352886114574,SAI
24,262.43048678319326,261.8210035564021,SAI
25,280.8874976,,SAI
