Minisector,LEC,RUS,Fastest
0,295.21675326350737,298.9960631541935,RUS
1,150.19545297068393,151.975642219457,RUS
2,143.55932409591793,148.89403596463887,RUS
3,226.07829741823508,231.04923167463463,RUS
4,296.8552637312542,287.79384399627924,LEC
5,288.6821299930736,291.6414963309421,RUS
6,136.63967476374083,138.6952646061343,RUS
7,134.61317072281943,137.17001312063664,RUS
8,129.6527112795616,131.5904682374677,RUS
9,188.14316833307623,187.0855327733858,LEC
10,127.71070773463713,129.9139095780752,RUS
11,121.39485457015051,122.09201271988637,RUS
12,161.66262459954652,167.89272902750278,RUS
13,269.5927317775574,270.28145857333334,RUS
14,296.68564271705685,294.452595978836,LEC
15,143.6811839210681,142.36803073101552,LEC
16,199.23648292990802,205.40899258637558,RUS
17,162.7172643506451,173.16034407907688,RUS
18,272.9286515894303,270.245056405008,LEC
19,297.49406833510477,294.4419982060606,LEC
20,314.49254404239343,309.99528268900906,LEC
21,322.44255482872256,319.2197147119192,LEC
22,328.0715635016355,324.94278298588245,LEC
23,338.8173938237909,328.0118054806349,LEC
24,341.30535807746344,326.6461706768254,LEC
25,341.0,328.0,LEC
