Minisector,PIA,LEC,Fastest
0,289.8327501019806,295.21675326350737,LEC
1,155.0319817153803,150.19545297068393,PIA
2,148.3617020956362,143.55932409591793,PIA
3,229.31218162511465,226.07829741823508,PIA
4,287.14754173598845,296.8552637312542,LEC
5,285.70882322351963,288.6821299930736,LEC
6,136.89435485969713,137.98616164858495,LEC
7,139.00432899523335,133.21144871150594,PIA
8,135.0441831265874,129.6527112795616,PIA
9,193.33152022327207,188.14316833307623,PIA
10,132.11571302381677,127.71070773463713,PIA
11,124.1134249235235,120.59102828307155,PIA
12,162.35346762455026,164.99068766100532,LEC
13,267.21387811321995,269.5927317775574,LEC
14,284.4721193288676,296.68564271705685,LEC
15,148.74101841638984,144.6400170358275,PIA
16,201.52012717545807,199.55451003351658,PIA
17,165.80847259436314,162.7172643506451,PIA
18,268.0314582006621,272.9286515894303,LEC
19,297.1025296016768,297.49406833510477,LEC
20,311.00730453490826,314.7548038498985,LEC
21,320.03157904360904,322.5646825701587,LEC
22,324.91883579051853,328.3538700015576,LEC
23,326.8562499809524,339.29695267555553,LEC
24,318.95729125155555,341.24470015746346,LEC
25,316.0,,PIA
