Minisector,SAI,STR,Fastest
0,291.94788433886623,301.6878595440116,STR
1,301.2525104695652,319.8206765171501,STR
2,293.4091954506465,295.48069030647343,STR
3,111.04308721419794,108.54423284930556,SAI
4,226.39094037394264,229.59657488446265,STR
5,272.05179369179757,275.7008925922078,STR
6,213.18546714939004,190.48233595269232,SAI
7,171.1625260474501,168.1825068671439,SAI
8,209.95543906285928,198.66298879692314,SAI
9,222.26242202103975,210.84035918448154,SAI
10,112.98927761979078,116.72741450744367,STR
11,231.7263834820533,222.60868066964503,SAI
12,116.94371135329946,112.06667664490666,SAI
13,225.55634596943312,235.8819793757627,STR
14,275.6808334533333,287.31983213959325,STR
15,233.0369187263944,202.96813085535027,SAI
16,197.31499628193848,205.2890035297052,STR
17,246.96766041559363,243.7582263872026,SAI
18,208.72884660552114,186.12236991581617,SAI
19,185.54117641639763,202.05694279054768,STR
20,264.3299404761905,266.77052496,STR
21,289.74507854057845,288.48922399220555,SAI
22,177.9158882704597,161.39850755156078,SAI
23,211.20016561558324,227.16732851984443,STR
24,273.2211687511688,274.14061169076257,STR
