Minisector,VER,LEC,Fastest
0,290.5731894698465,305.3894031489645,LEC
1,299.1656731405128,321.3503434901099,LEC
2,285.14835733,295.0924613165121,LEC
3,120.03367067642982,109.39978011982157,VER
4,226.07762385771255,225.17969614643093,VER
5,271.93627951424804,273.0789913483881,LEC
6,215.92979171366665,186.7308291235925,VER
7,168.08735284338624,167.6690359831729,VER
8,224.28568172106964,213.25994143875843,VER
9,228.75443168571428,222.56334115572872,VER
10,122.03639544550305,115.43430627709087,VER
11,232.49295125157823,230.4901330916746,VER
12,119.7096837652386,120.95667540115424,LEC
13,225.5112848802791,221.65656498442934,VER
14,272.90121042957395,273.90575119787184,LEC
15,231.8699941227385,234.65513770666666,LEC
16,203.21207259521813,193.08399135766982,VER
17,253.3880427938624,251.97863219056595,VER
18,210.29102837223974,193.2258957295521,VER
19,186.54693192787303,180.6284826488534,VER
20,264.43213869619063,261.7140455511111,VER
21,289.46476785124713,289.182057630622,VER
22,170.9167953243501,183.08507631197872,LEC
23,212.87595208492553,204.49854756087007,VER
24,271.00882607512466,269.12383077485714,VER
25,,284.1027776,LEC
