X,Y,Minisector,Fastest
-1746.5726029384239,1222.6203536205112,0,VER
-1701.0,1283.0,0,VER
-1699.6829560704289,1284.726135257908,0,VER
-1575.0,1444.0,0,VER
-1537.3396377272825,1490.8309976331325,0,VER
-1492.0,1547.0,0,VER
-1418.0,1640.0,0,VER
-1388.874226456645,1677.7701572664753,0,VER
-1336.0,1748.0,0,VER
-1270.0741915153394,1837.9190005352725,0,VER
-1220.0,1907.0,0,VER
-1030.0,2169.0,0,VER
-1002.2735253457246,2207.0694706533272,0,VER
-929.0,2307.0,0,VER
-905.1198635921186,2339.927740543659,0,VER
-827.5528915201868,2447.2131309742745,0,VER
-790.0,2499.0,0,VER
-734.0,2576.0,0,VER
-732.6063200264758,2577.918885609419,0,VER
-659.0,2680.0,0,VER
-658.0725002295978,2681.305271818732,0,VER
-531.0,2865.0,0,VER
-494.2283739408923,2919.2789563599385,0,VER
-440.0,3000.0,0,VER
-333.47751379691005,3160.1313622605808,1,VER
-278.0,3244.0,1,VER
-231.4217900065378,3314.71187037384,1,VER
-140.0,3448.0,1,VER
-98.79683904348735,3505.502939232366,1,VER
27.162036504787757,3678.2841160902676,1,VER
64.0,3728.0,1,VER
189.0,3884.0,1,VER
190.1555885584453,3885.396611824796,1,VER
269.72674717029577,3979.6817122914567,1,VER
298.0,4010.0,1,VER
417.6042627332702,4129.708389415043,1,VER
491.0,4200.0,1,VER
588.6006018772357,4286.852285717837,1,VER
635.2335013662209,4314.461503211796,1,VER
689.0,4343.0,1,VER
835.0487124825491,4414.458268474972,1,VER
852.0,4421.0,1,VER
1043.0,4480.0,1,VER
1044.928222612179,4480.504935322262,1,VER
1171.495963335116,4507.317814457106,1,VER
1324.0,4517.0,2,VER
1426.3511301571582,4519.745116261143,2,VER
1458.0,4520.0,2,VER
1623.0,4516.0,2,VER
1686.684750094171,4512.233368171898,2,VER
1884.0,4491.0,2,VER
2097.0,4461.0,2,VER
2120.999696295047,4457.780275567113,2,VER
2358.0,4440.0,2,VER
2374.6361526836317,4439.7047817894245,2,VER
2507.0,4439.0,2,VER
2541.859496037724,4439.534107026939,2,VER
2703.0,4451.0,2,VER
2785.097568631952,4464.308642526996,2,VER
2905.0,4490.0,2,VER
3004.7818113991098,4519.765980950891,2,VER
3034.0,4530.0,2,VER
3188.248799039668,4593.475048296063,2,VER
3261.0,4630.0,2,VER
3391.5814218587675,4708.342036173131,2,VER
3458.0,4754.0,2,VER
3564.0,4835.0,2,VER
3631.9182954204152,4892.789744448477,3,TSU
3713.0,4967.0,3,TSU
3839.327219578718,5095.524322914485,3,TSU
3901.0,5157.0,3,TSU
4042.0,5296.0,3,TSU
4092.4263080672813,5345.563682068378,3,TSU
4196.297154290308,5446.385122926142,3,TSU
4259.0,5499.0,3,TSU
4313.461282888199,5546.7135069977085,3,TSU
4381.0,5606.0,3,TSU
4430.74797837085,5649.275816926243,3,TSU
4489.76022236363,5698.016139232219,3,TSU
4515.0,5718.0,3,TSU
4601.0,5785.0,3,TSU
4628.798675937185,5806.032746271425,3,TSU
4690.0,5844.0,3,TSU
4691.425013363309,5844.667962837619,3,TSU
4848.109307102991,5896.27831684585,3,TSU
4855.0,5898.0,3,TSU
4901.262603673178,5903.067567770091,3,TSU
4921.0,5901.0,3,TSU
4938.872152472797,5899.479364678816,3,TSU
5009.0,5892.0,3,TSU
5010.009040257767,5891.818229691648,3,TSU
5071.142098198044,5874.835266468495,3,TSU
5076.0,5873.0,3,TSU
5219.0,5782.0,3,TSU
5242.884981473986,5759.012059777505,3,TSU
5279.0,5715.0,3,TSU
5282.539093718048,5709.642098799009,3,TSU
5301.0,5678.0,3,TSU
5313.144107806079,5654.722081179671,3,TSU
5323.0,5632.0,3,TSU
5354.722834200747,5540.53197307663,3,TSU
5357.0,5533.0,3,TSU
5371.658863444692,5476.759412996837,3,TSU
5381.884786209783,5397.543778371537,4,TSU
5384.0,5374.0,4,TSU
5387.163446287398,5333.661836469266,4,TSU
5390.499610508943,5292.5985478567145,4,TSU
5391.0,5287.0,4,TSU
5396.05713587206,5235.702558029982,4,TSU
5398.0,5220.0,4,TSU
5414.227442313067,5118.655489693321,4,TSU
5422.0,5083.0,4,TSU
5473.383301418636,4958.417501860625,4,TSU
5476.0,4954.0,4,TSU
5547.952782526468,4857.168159870416,4,TSU
5552.0,4853.0,4,TSU
5589.383023098067,4818.392617917346,4,TSU
5643.0,4776.0,4,TSU
5667.254291063976,4760.376835439173,4,TSU
5684.0,4753.0,4,TSU
5700.352802030148,4746.580955986015,4,TSU
5753.0,4731.0,4,TSU
5758.3527288426385,4730.2661709869435,4,TSU
5794.02631347236,4730.4582129602395,4,TSU
5798.0,4731.0,4,TSU
5833.0,4740.0,4,TSU
5846.565548605844,4745.452875192278,4,TSU
5871.0,4758.0,4,TSU
5887.509130587952,4768.417224116496,4,TSU
5910.0,4785.0,4,TSU
5939.60432692257,4810.243099824514,4,TSU
5950.0,4820.0,4,TSU
6002.150280493786,4875.648308313554,4,TSU
6005.0,4879.0,4,TSU
6031.0,4912.0,4,TSU
6044.949601462106,4931.703640251117,4,TSU
6083.931054682315,4989.398893213887,4,TSU
6087.0,4994.0,4,TSU
6104.465794260114,5021.006734771715,4,TSU
6114.0,5039.0,4,TSU
6139.0,5089.0,4,TSU
6147.763030233003,5107.394898269683,4,TSU
6172.0,5162.0,4,TSU
6186.025908836133,5197.0011253875355,4,TSU
6220.0,5294.0,4,TSU
6220.453152640715,5295.4308005524435,4,TSU
6263.262635844144,5443.367076434188,4,TSU
6272.0,5476.0,4,TSU
6286.024294460158,5534.096122711602,4,TSU
6295.0,5578.0,4,TSU
6312.405800199459,5672.172917900823,4,TSU
6314.0,5683.0,4,TSU
6331.0,5847.0,4,TSU
6332.641331723278,5898.043787727564,4,TSU
6328.242720197833,6016.816118343676,5,VER
6324.0,6076.0,5,VER
6314.237427338933,6165.911329865756,5,VER
6303.0,6225.0,5,VER
6300.587075381625,6236.36448688527,5,VER
6279.0,6328.0,5,VER
6278.694911155604,6329.152836023185,5,VER
6243.0,6442.0,5,VER
6184.802607119015,6576.810289337069,5,VER
6155.0,6637.0,5,VER
6136.351322789315,6671.900420570681,5,VER
6079.163545490476,6765.764298510158,5,VER
6062.0,6792.0,5,VER
5960.0,6929.0,5,VER
5958.17520358357,6931.084238662175,5,VER
5813.077049876545,7084.818342253532,5,VER
5803.0,7095.0,5,VER
5745.946854781809,7149.521370155004,5,VER
5699.0,7187.0,5,VER
5656.288088559989,7222.266343737678,5,VER
5556.0,7303.0,5,VER
5384.0,7435.0,5,VER
5337.474676667467,7470.588789758909,5,VER
5236.056164372693,7549.2414269093115,5,VER
5199.0,7579.0,5,VER
5149.488219901727,7619.096574037645,5,VER
5060.0,7693.0,5,VER
4968.329399261256,7770.325516632874,6,VER
4905.0,7824.0,6,VER
4817.857212497161,7897.905764812548,6,VER
4764.0,7944.0,6,VER
4703.93053734376,7995.598819123695,6,VER
4693.0,8005.0,6,VER
4550.0,8128.0,6,VER
4512.4217920036845,8160.06625922347,6,VER
4429.0,8231.0,6,VER
4320.0,8324.0,6,VER
4293.0796698423665,8347.031028810106,6,VER
4093.847950098516,8518.14352818181,6,VER
4050.0,8556.0,6,VER
3968.260003513199,8626.752687216365,6,VER
3761.14459629351,8806.995807087567,6,VER
3752.0,8815.0,6,VER
3623.520346584169,8928.505002245904,6,VER
3615.0,8936.0,6,VER
3477.0,9057.0,6,VER
3363.0,9157.0,6,VER
3316.0585167254076,9198.063762307476,6,VER
3133.0,9358.0,7,VER
3114.168532714247,9374.484001390068,7,VER
2988.8890598329185,9484.371924924963,7,VER
2850.0,9606.0,7,VER
2838.9119156647757,9615.636264546927,7,VER
2706.0,9730.0,7,VER
2682.5275530333115,9750.313278403002,7,VER
2576.28693666433,9842.702199201973,7,VER
2536.0,9878.0,7,VER
2381.0,10015.0,7,VER
2378.802146153521,10016.946446413353,7,VER
2258.907248838825,10123.241340838422,7,VER
2219.0,10159.0,7,VER
2167.0,10206.0,7,VER
2015.0,10342.0,7,VER
2000.2169098390407,10355.360187342285,7,VER
1911.0,10436.0,7,VER
1739.0,10583.0,7,VER
1737.0219905375716,10584.63078504399,7,VER
1621.0,10677.0,7,VER
1528.1527764059633,10742.621208054774,7,VER
1454.0,10789.0,8,TSU
1404.0,10817.0,8,TSU
1304.035347421688,10865.054320818155,8,TSU
1220.0,10898.0,8,TSU
1104.0,10932.0,8,TSU
1070.0470885613588,10938.600407446696,8,TSU
995.0,10947.0,8,TSU
980.8632063339747,10947.896389342244,8,TSU
778.0,10946.0,8,TSU
764.2833735806856,10944.655356481368,8,TSU
599.0,10903.0,8,TSU
598.1958438045734,10902.683804948407,8,TSU
453.98265793468084,10824.443784250749,8,TSU
443.0,10816.0,8,TSU
372.86531540126344,10744.896629613637,8,TSU
351.0,10716.0,8,TSU
328.4998469735159,10683.075840657522,8,TSU
301.0,10636.0,8,TSU
249.47198591345017,10529.441123250686,8,TSU
246.0,10522.0,8,TSU
214.57348974137062,10439.734373874959,8,TSU
209.0,10402.0,8,TSU
195.79112538770292,10280.949681910895,8,TSU
192.0,10240.0,8,TSU
186.04459620295233,10159.405607157563,8,TSU
183.1890814835197,10072.576402746476,8,TSU
183.0,10067.0,8,TSU
181.3241957446034,10022.28059886451,8,TSU
175.0,9958.0,8,TSU
138.0,9789.0,8,TSU
134.0306902734562,9777.922980968087,8,TSU
101.5372909320508,9710.380626451126,8,TSU
51.0,9638.0,9,TSU
50.6405540252197,9637.518968585733,9,TSU
25.507034462358963,9605.878546981869,9,TSU
-10.0,9574.0,9,TSU
-56.73412261267289,9539.533027474172,9,TSU
-120.0,9497.0,9,TSU
-159.8057479913584,9474.620282984526,9,TSU
-189.77766508259725,9464.675334707857,9,TSU
-199.0,9462.0,9,TSU
-281.0,9443.0,9,TSU
-288.0754533288764,9442.176674034099,9,TSU
-318.0,9441.0,9,TSU
-419.6258938588752,9456.255244660766,9,TSU
-438.0,9461.0,9,TSU
-485.7846132570949,9481.328418620511,9,TSU
-506.0,9494.0,9,TSU
-531.7875743510857,9511.212220018815,9,TSU
-557.0,9530.0,9,TSU
-572.3149180309877,9543.071176351905,9,TSU
-616.0,9588.0,9,TSU
-625.103625904961,9598.497838156187,9,TSU
-653.0,9634.0,9,TSU
-664.4838660814041,9651.018869090114,9,TSU
-691.0,9697.0,9,TSU
