Minisector,VER,NOR,Fastest
0,279.27763311596635,281.1853184946366,NOR
1,123.32997996385778,122.25863097443283,VER
2,156.63347438279445,174.95714415688408,NOR
3,218.5940937254155,202.95951099362318,VER
4,162.6726977464263,166.83167205225578,NOR
5,240.34179397447338,242.10129425142858,NOR
6,212.3210207483857,191.83391921646492,VER
7,132.18619168218402,145.0430426379832,NOR
8,230.3340799806579,242.6731414394142,NOR
9,274.3880851806862,278.7212793904762,NOR
10,286.4541692212885,264.99043790711954,VER
11,155.89710377638264,154.14251769261256,VER
12,226.17445644676332,231.21847417149988,NOR
13,271.4897368421053,274.4275991362487,NOR
14,268.46940962735965,211.59239771367618,VER
15,105.23394824750694,106.65184482407959,NOR
16,219.65851337948988,236.61942220923873,NOR
17,269.29851540616244,275.9148022849123,NOR
18,290.120122905098,291.7276489047619,NOR
19,298.28446722523705,299.45127753298334,NOR
20,304.2518674136321,303.5144444302222,VER
21,293.474345194794,249.01072380801955,VER
22,158.18509878334694,168.79750651318142,NOR
23,236.73399444426923,247.42999997155556,NOR
24,275.1418174213075,277.90340912786087,NOR
25,283.38,,VER
