Minisector,VER,PER,Fastest
0,276.1631768911977,278.2479857747879,PER
1,293.9612135670991,296.63614743088027,PER
2,231.59789792420912,233.47430831758288,PER
3,114.48743845626315,108.5293637928611,VER
4,130.37340284342164,129.03604761379094,VER
5,245.0577537142457,246.82786069760002,PER
6,253.75824914133332,237.0236308231085,VER
7,123.80514301516864,120.48182330148137,VER
8,242.60808683521736,249.86993168012594,PER
9,257.11014918521556,256.4443379695746,VER
10,211.0238971519951,196.51663402432948,VER
11,141.1290589872239,137.96670258458124,VER
12,199.98099467494646,206.79872935605096,PER
13,258.4628580717745,255.96598917345977,VER
14,113.0643510298298,107.9415841113229,VER
15,187.4494057496255,191.2830617228148,PER
16,253.15852848179787,256.25297181285384,PER
17,285.22230755086514,288.31198042954634,PER
18,298.78996305160507,302.85214320099385,PER
19,304.93717535584415,320.0832070454359,PER
20,307.40503475555556,329.2603783136508,PER
21,176.80228691196726,133.1944966934003,VER
22,138.0516396517361,164.77325095279605,PER
23,196.07928824482815,186.22273656136227,VER
24,230.0735899697163,242.91228560940635,PER
25,262.0250016,,VER
