Minisector,LEC,RUS,Fastest
0,308.9438986666667,311.2719200969697,RUS
1,175.1822594265971,201.77648632141526,RUS
2,145.29107097035993,147.3931691040426,RUS
3,225.49443523255295,228.20292337692348,RUS
4,165.3297992778408,164.07233259898763,LEC
5,183.3980043460809,176.33402995579291,LEC
6,255.0260668803669,251.85594229860712,LEC
7,280.9062052113815,279.6729324525906,LEC
8,288.5651313131313,287.4823093953009,LEC
9,259.98495220184736,262.06877268548755,RUS
10,242.97275479264482,243.43829946532634,RUS
11,244.17825081342173,241.5699721847619,LEC
12,193.69730089636582,206.61800953365918,RUS
13,124.84145091536968,129.53908023702354,RUS
14,132.9182449711931,141.66894411571366,RUS
15,171.6798328991839,173.99916912674448,RUS
16,246.4259090909091,250.25028272084376,RUS
17,231.106865362387,247.7538364673016,RUS
18,112.311817801879,115.83057702099427,RUS
19,203.18205074157333,194.658923531512,LEC
20,203.5695675768295,202.57295136821463,LEC
21,239.75873718816283,237.4517485297778,LEC
22,267.8830533448812,265.83259744799307,LEC
23,287.8355617538513,284.2510549546122,LEC
24,300.9623241861229,300.0499896833016,LEC
25,306.9562496,305.99583306666665,LEC
