Minisector,NOR,TSU,Fastest
0,293.85348933875076,289.60136324059465,NOR
1,306.55837329109437,299.8269479168831,NOR
2,313.7730476381699,306.2671532840336,NOR
3,314.31083322666666,304.0363967746261,NOR
4,190.90550432573477,194.31238019420007,TSU
5,211.71372754364532,211.437311356089,NOR
6,268.3861669005848,262.0581538768254,NOR
7,271.60837317155557,264.5041315840086,NOR
8,193.3049609351065,184.99590484038097,NOR
9,142.3151122863413,149.2892850988517,TSU
10,182.75437543675574,170.99978616071775,NOR
11,261.5988464069264,253.65270849053096,NOR
12,247.17273755692435,245.64628905243293,NOR
13,231.01250941849804,218.69829466666667,NOR
14,272.053584616127,265.0145769645714,NOR
15,163.84392986340134,173.6805009740076,TSU
16,220.9137942912,207.90474417985658,NOR
17,232.6723452253262,234.04477339286697,TSU
18,131.5540433297143,131.28905011588665,NOR
19,241.3023934193963,232.43747691903522,NOR
20,282.5880202600151,273.6068038360926,NOR
21,237.91676506131517,249.12397509977464,TSU
22,138.4444055259259,138.14408710887503,NOR
23,204.7990675098533,202.8180364487542,NOR
24,271.88332882539686,264.8254451945421,NOR
25,,280.01249920000004,TSU
