Minisector,HAM,VER,Fastest
0,269.16840511154084,277.8210309039859,VER
1,290.9562406520301,302.4635560330328,VER
2,293.48869756564795,307.8116208923249,VER
3,123.34380866018894,124.34550909564148,VER
4,189.78634536093088,197.16143321387946,VER
5,252.13519425777775,256.512201989418,VER
6,137.49329485259184,143.57316624311835,VER
7,204.26793955192747,197.71700630728608,HAM
8,257.6761849619753,256.2538593244445,HAM
9,281.8424574106164,278.38805668705584,HAM
10,232.3810936632847,235.8394222215224,VER
11,174.72751534370724,179.59496929220614,VER
12,189.90513385752942,190.59602008491885,VER
13,140.51331720589346,140.0406131844002,HAM
14,174.42407827716673,168.75705484377698,HAM
15,158.76293083520045,160.44210451708778,VER
16,215.20923107740262,215.74180537142857,VER
17,228.21326722010855,234.77312386610907,VER
18,234.32625022803848,240.41492823732338,VER
19,236.72241345890512,248.28419581380115,VER
20,143.2049027427787,146.1064813866827,VER
21,130.00048391462755,140.51281933179445,VER
22,164.04450452622223,163.33717942857143,HAM
23,150.2350676625591,153.5750458219769,VER
24,223.0889970438277,218.10261477598345,HAM
25,,253.55714377142854,VER
