Minisector,ALB,MAG,Fastest
0,321.6347626181901,323.7358523999204,MAG
1,331.50020820444445,332.6300556757143,MAG
2,334.8788888335802,332.161314592254,ALB
3,189.60595328189459,187.9529145312875,ALB
4,121.65487598558948,132.14137981303614,MAG
5,263.14706336620714,267.765180253898,MAG
6,299.25399058770563,302.44648018979603,MAG
7,314.86378398836365,317.4746328507936,MAG
8,280.8659176299724,287.82524349729465,MAG
9,140.59808595310741,139.5783799762465,ALB
10,222.17690179810108,221.6154911925798,ALB
11,218.45055083008347,221.32556960251264,MAG
12,195.64289832953213,198.32867132247824,MAG
13,266.58658086969507,266.44414343953173,ALB
14,302.63406051845806,304.72210324745197,MAG
15,321.7720846641374,321.59496511111115,ALB
16,270.58355804327294,287.6355945788958,MAG
17,208.73764935417304,207.94353059235397,ALB
18,278.6309577892063,272.2362586925869,ALB
19,308.6946640389957,306.30455871436766,ALB
20,324.2389809900142,322.8195220428526,ALB
21,299.7499958345578,314.86568921683113,MAG
22,199.24099511163902,210.40521969459266,MAG
23,264.4041523523048,264.6607372568381,MAG
24,303.2156295751913,303.3353010974871,MAG
25,,318.2486112,MAG
