Minisector,LEC,VER,Fastest
0,281.55954074525573,271.00401311390476,LEC
1,304.2649679722449,299.43274284523915,LEC
2,318.54993704067226,312.5498069645311,LEC
3,325.4810732250245,321.4968682434709,LEC
4,329.5099064642177,326.2833431149206,LEC
5,331.97972222019047,328.2210938,LEC
6,205.01389865805922,199.75535032678442,LEC
7,112.22046266736865,105.78900063361966,LEC
8,198.35376583825993,186.4221351072578,LEC
9,269.60572373979795,261.18704343135937,LEC
10,297.7283657037331,290.176153,LEC
11,166.77392348081634,174.6319375507367,VER
12,95.5614184938839,97.983535668666,VER
13,123.2966715338453,115.01409238020342,LEC
14,227.65933945043477,216.24548742617284,LEC
15,195.53071519048524,195.12890739919192,LEC
16,238.59548634745826,227.86645785599998,LEC
17,188.33091246324804,182.79345659238095,LEC
18,243.2363191661376,241.71237180326202,LEC
19,283.3912366447972,280.05244305563906,LEC
20,252.93162691291863,245.61775094795576,LEC
21,153.35840824819624,143.56702102596878,LEC
22,98.43824939015622,97.61652598900932,LEC
23,128.22731761365057,122.92094241066611,LEC
24,231.97273812813853,227.1606356701381,LEC
