Minisector,VER,SAI,Fastest
0,290.45461195541577,292.4854681406555,SAI
1,160.66243825620208,156.07865934371915,VER
2,175.7634158556125,179.25462526715899,SAI
3,252.69619308538577,257.1591242584049,SAI
4,285.6556672842512,287.0842277052632,SAI
5,246.16699236173915,252.29723166548152,SAI
6,222.10007837090987,226.7543797019798,SAI
7,153.11353495987754,150.76958743631394,VER
8,231.4251425337068,224.22720780391987,VER
9,281.17589088596054,280.9040238987162,VER
10,299.30648012121213,298.6954997866667,VER
11,307.54377713670834,307.8596215727752,SAI
12,311.21413456205596,312.6515365934837,SAI
13,304.5202445118595,312.12521988651633,SAI
14,123.19573098062033,122.51713370779899,VER
15,120.41184018529393,117.01959683599677,VER
16,106.50738484210791,107.76554467190928,SAI
17,234.22122736816104,239.2792177377778,SAI
18,285.1104481719728,288.5805543103723,SAI
19,305.8071284876331,307.34609014320864,SAI
20,317.4993693738346,318.03751912891323,SAI
21,315.9421746560985,320.7055618531987,SAI
22,121.2637822716578,116.57908533409986,VER
23,207.09607175103665,214.45133352387577,SAI
24,268.2001098942044,272.1049371221055,SAI
25,282.84999999999997,,VER
