X,Y,Minisector,Fastest
-7660.754638683428,-6626.817796319867,0,NOR
-7662.0,-6608.0,0,NOR
-7668.0,-6520.0,0,NOR
-7671.587792772521,-6470.6507061074235,0,NOR
-7676.0,-6386.0,0,NOR
-7677.04933118038,-6293.646785747842,0,NOR
-7674.0,-6085.0,0,NOR
-7673.80439244269,-6077.548746907086,0,NOR
-7667.12660194408,-5959.267938600962,0,NOR
-7662.0,-5902.0,0,NOR
-7656.516785369085,-5838.2785874348165,0,NOR
-7651.0,-5781.0,0,NOR
-7632.562255223603,-5630.51182886333,0,NOR
-7607.0,-5459.0,0,NOR
-7603.949418730383,-5440.586061724443,0,NOR
-7583.723702361486,-5338.965509016251,0,NOR
-7575.0,-5300.0,0,NOR
-7557.1206406656465,-5221.374547676996,1,NOR
-7549.0,-5188.0,1,NOR
-7517.0,-5064.0,1,NOR
-7487.00836295018,-4960.251730945121,1,NOR
-7474.0,-4922.0,1,NOR
-7460.31799160511,-4879.614844613654,1,NOR
-7446.0,-4840.0,1,NOR
-7441.97033913121,-4829.77480230565,1,NOR
-7419.0,-4777.0,1,NOR
-7411.5826677266605,-4762.773914914629,1,NOR
-7386.0,-4724.0,1,NOR
-7374.888473333239,-4710.2452095522885,1,NOR
-7310.0,-4663.0,1,NOR
-7231.450798820523,-4633.88673661091,1,NOR
-7220.0,-4630.0,1,NOR
-7188.456872279469,-4619.739631635934,1,NOR
-7149.338903155497,-4613.590202345849,1,NOR
-7145.0,-4613.0,1,NOR
-7064.935371593185,-4602.408114336042,1,NOR
-7030.0,-4598.0,1,NOR
-6962.462121578306,-4591.764075224891,1,NOR
-6922.0,-4589.0,1,NOR
-6842.733533354467,-4582.094428539905,1,NOR
-6830.0,-4581.0,1,NOR
-6757.243129160435,-4574.724295864263,1,NOR
-6740.0,-4573.0,2,NOR
-6597.0,-4557.0,2,NOR
-6513.8014963521355,-4545.491902669131,2,NOR
-6476.0,-4539.0,2,NOR
-6418.118914548521,-4528.7222293736095,2,NOR
-6318.0,-4508.0,2,NOR
-6312.6630503663,-4506.694803882475,2,NOR
-6286.0,-4500.0,2,NOR
-6208.049156385877,-4481.540598418763,2,NOR
-6142.0,-4466.0,2,NOR
-6012.1416801925025,-4434.101451783888,2,NOR
-5935.0,-4415.0,2,NOR
-5840.504254013114,-4391.982064488749,2,NOR
-5768.0,-4374.0,2,NOR
-5735.2197385361915,-4365.728403999054,2,NOR
-5585.0,-4327.0,2,NOR
-5548.394517690098,-4317.041804078808,2,NOR
-5460.0,-4294.0,3,NOR
-5437.945794034371,-4288.937834513618,3,NOR
-5122.314451298564,-4223.492549377049,3,NOR
-5104.0,-4220.0,3,NOR
-5059.81001907694,-4213.533317517953,3,NOR
-5037.0,-4212.0,3,NOR
-4927.459257935463,-4203.643482170429,3,NOR
