Minisector,ALO,NOR,Fastest
0,292.0106045393863,288.72320772909336,ALO
1,303.51420102930484,298.85684592592594,ALO
2,307.0,304.3847144133067,ALO
3,189.64600047217553,200.34853639356407,NOR
4,215.55788652033584,213.61264779142465,ALO
5,200.36334099520525,204.07669334110412,NOR
6,264.7920309327581,261.712127219512,ALO
7,263.1679628495238,264.7331361650794,NOR
8,211.30212144390313,221.75335182275674,NOR
9,214.1219876120935,221.6030085775238,NOR
10,141.84987012311225,136.71469374353296,ALO
11,205.60517904078932,214.99936525505413,NOR
12,177.92287688565656,182.75540514654378,NOR
13,254.85885851531262,252.7184779073016,ALO
14,182.35970196640693,189.61078208815775,NOR
15,232.39632304060987,228.97617680137373,ALO
16,280.9663488686659,277.17678496571426,ALO
17,292.34336174787876,289.4994024302575,ALO
18,286.85178592,282.1522946365714,ALO
19,266.397415814026,271.5284386218275,NOR
20,261.0465392164102,272.37263755064754,NOR
21,263.7905966471692,264.63474280671204,NOR
22,232.36016083536742,242.56583854745256,NOR
23,204.80189446220967,210.18759684017772,NOR
24,269.37308906666664,265.8641340453532,ALO
25,,281.85714285714283,NOR
