Minisector,RUS,ZHO,Fastest
0,293.25854158933333,289.18463943962576,RUS
1,305.2180201231614,299.0530176548572,RUS
2,309.18402880802006,297.416398070704,RUS
3,186.92295432344125,192.02340708320762,ZHO
4,210.27849195936508,207.4736996923392,RUS
5,206.59298290796255,205.89068315033413,RUS
6,264.9310512971705,263.9796486748331,RUS
7,260.1274683841833,252.89219454984126,RUS
8,216.94938540259741,212.61596614583934,RUS
9,210.66698212633202,214.9481277161905,ZHO
10,137.47047175059296,141.09500795624794,ZHO
11,204.21833355419815,202.07639122083748,RUS
12,185.421186590823,187.81673429837488,ZHO
13,254.81558725587303,250.39370791130162,RUS
14,180.63793950517373,182.5924860459137,ZHO
15,234.00316771555558,234.9964120667821,ZHO
16,281.21952689975075,279.84975330848863,RUS
17,292.1419586213152,285.7887773461728,RUS
18,284.89121173399224,275.90178015301586,RUS
19,267.4597224622222,257.2815640568254,RUS
20,266.3746565643699,258.1950710768405,RUS
21,260.24735051993076,256.3266715239909,RUS
22,249.91032955897842,236.4036188213714,RUS
23,208.7605987525199,209.53431306911227,ZHO
24,270.2614999395692,267.44955519457056,RUS
25,285.5,283.0612496,RUS
