Minisector,ALO,HUL,Fastest
0,271.448582776,270.11302062459697,ALO
1,247.82534509968255,241.63537198466864,ALO
2,116.61604820032521,117.53979627362702,HUL
3,170.59667857460317,174.37055494027513,HUL
4,192.12233956915352,194.27273837440006,HUL
5,198.2528755978836,195.51223712018142,ALO
6,264.555985674908,265.36269408338717,HUL
7,289.46210467463203,287.77616896277056,ALO
8,222.96054347918798,247.33455315837048,HUL
9,146.69214686309581,145.08997856582022,ALO
10,121.37718153392501,115.23558019429636,ALO
11,150.39905676523907,148.88886415729453,ALO
12,244.63675688126983,241.23297210217788,ALO
13,149.51338326308465,158.09391923915126,HUL
14,147.60984845403365,139.14317633039988,ALO
15,104.32466047710157,106.70957656178902,HUL
16,215.72786261671956,211.668875456,ALO
17,238.1493465242059,251.26817253463892,HUL
18,128.82623212505464,122.75763261701425,ALO
19,240.77569957185185,234.1207100931403,ALO
20,277.2246234927561,275.32550654230727,ALO
21,202.94627820571404,215.385456476572,HUL
22,148.4122404203896,141.35696319751608,ALO
23,213.3962132272762,218.21968833132547,HUL
24,225.38422578196472,216.8573024346592,ALO
25,256.0877188029724,253.84642651428572,ALO
