Minisector,NOR,ALO,Fastest
0,275.37498334911567,271.448582776,NOR
1,240.11009433184108,247.82534509968255,ALO
2,119.91157470487815,116.61604820032521,NOR
3,176.2653754978818,170.59667857460317,NOR
4,196.51586058453628,192.12233956915352,NOR
5,203.54890285113999,198.2528755978836,NOR
6,267.7738174317493,264.555985674908,NOR
7,289.34487491388103,289.46210467463203,ALO
8,229.56152143197463,222.96054347918798,NOR
9,151.69804732084333,146.69214686309581,NOR
10,121.8026620368742,120.8541421787043,NOR
11,161.26760740679276,148.54741555311784,NOR
12,243.98602299204288,243.11008596848487,NOR
13,153.14879537349645,149.51338326308465,NOR
14,159.75455921062712,147.60984845403365,NOR
15,106.32554466008041,104.32466047710157,NOR
16,224.70132686569562,215.72786261671956,NOR
17,234.55407826539684,242.48979159678714,ALO
18,132.03623203639924,127.41415732777571,NOR
19,243.12657352049925,239.39695724840635,NOR
20,277.3514044377489,277.2246234927561,NOR
21,197.9460401416563,206.1114181096294,ALO
22,165.21737980547186,147.59843148301093,NOR
23,221.02298790734736,214.45438877841272,NOR
24,234.8464935606349,223.75882466100975,NOR
25,260.68125088,256.0877188029724,NOR
