Minisector,NOR,PIA,Fastest
0,275.37498334911567,274.74411761045195,NOR
1,240.11009433184108,231.90427837121024,NOR
2,119.91157470487815,119.00886768097479,NOR
3,176.2653754978818,171.91505484937326,NOR
4,196.51586058453628,187.96168976737326,NOR
5,203.54890285113999,202.27771293735276,NOR
6,267.7738174317493,266.9424322612245,NOR
7,289.34487491388103,288.93805568,NOR
8,229.56152143197463,235.0002044010217,PIA
9,151.69804732084333,148.32153148281557,NOR
10,121.8026620368742,123.02505441391314,PIA
11,161.26760740679276,161.5390959678673,PIA
12,243.98602299204288,244.2506344645066,PIA
13,153.14879537349645,150.3350097703896,NOR
14,159.75455921062712,150.69130332143757,NOR
15,106.32554466008041,107.60907035303678,PIA
16,224.70132686569562,220.50939305206973,NOR
17,234.55407826539684,237.1247889760571,PIA
18,132.03623203639924,128.36424733360067,NOR
19,243.12657352049925,240.4707361353143,NOR
20,277.3514044377489,277.8057532389841,PIA
21,197.9460401416563,203.85397774215758,PIA
22,165.21737980547186,152.57342516444444,NOR
23,221.02298790734736,219.38972213128204,NOR
24,234.8464935606349,230.46296508225953,NOR
25,260.68125088,258.3333333333333,NOR
