X,Y,Minisector,Fastest
1055.6338447753055,-479.09108805512443,0,PIA
1055.1001215192189,-475.8919682299016,0,PIA
1035.0,-353.0,0,PIA
1003.5867700736891,-155.71669091362554,0,PIA
984.0,-33.0,0,PIA
972.6556261583592,35.85039875674138,0,PIA
960.0,114.0,0,PIA
925.1413332951936,342.71938308490326,0,PIA
912.0,430.0,0,PIA
895.0810574932201,542.9057176854252,0,PIA
871.3638511233252,702.5314002004195,0,PIA
871.0,705.0,0,PIA
860.2921093295217,778.43771921988,0,PIA
849.0,859.0,0,PIA
847.6505729682651,868.7147652797864,0,PIA
817.4384289024537,1087.8002977906956,0,PIA
817.0,1091.0,0,PIA
800.4051750559001,1212.9225267673855,0,PIA
796.0,1246.0,0,PIA
780.2626672909819,1367.5440816464259,0,PIA
772.0,1432.0,0,PIA
760.2984078247807,1523.0245196675073,1,HUL
756.0,1557.0,1,HUL
742.0,1670.0,1,HUL
736.2227512544764,1716.231947080278,1,HUL
714.0,1891.0,1,HUL
708.8511133046063,1931.264286315708,1,HUL
695.0963163369142,2040.6474836976577,1,HUL
689.0,2093.0,1,HUL
666.2543236360508,2300.6965112064354,1,HUL
666.0,2303.0,1,HUL
649.0,2450.0,1,HUL
629.5467346425991,2620.2744650846807,1,HUL
608.0,2810.0,1,HUL
601.7189558241945,2864.263316825985,1,HUL
597.0,2896.0,1,HUL
580.7421178344127,2994.6055352433928,1,HUL
565.0,3081.0,1,HUL
553.4620910654653,3138.52681142103,1,HUL
541.0,3194.0,1,HUL
529.6144745230738,3236.309020563598,1,HUL
511.0,3294.0,1,HUL
506.74544505989445,3307.714135574334,1,HUL
485.0,3358.0,1,HUL
452.99358819736545,3411.63450647845,2,PIA
417.0,3468.0,2,PIA
382.5846098811339,3510.6194514264002,2,PIA
360.0,3526.0,2,PIA
321.78515228872135,3554.2258875959524,2,PIA
308.0,3563.0,2,PIA
230.0,3598.0,2,PIA
208.47142637943944,3605.1201458962028,2,PIA
112.71448511845871,3628.9317093435993,2,PIA
85.0,3635.0,2,PIA
41.6302501862564,3644.2298181174256,2,PIA
-33.50467200133716,3659.7889876604727,2,PIA
-83.0,3671.0,2,PIA
-150.90061525473666,3690.164809407254,2,PIA
-193.05581650363015,3708.413656578737,2,PIA
-214.0,3719.0,2,PIA
-236.0,3731.0,2,PIA
-311.376825100597,3782.8003165354066,2,PIA
-388.0,3842.0,2,PIA
-421.16216378142366,3869.155700419291,2,PIA
-462.0,3906.0,2,PIA
-487.71530074384293,3928.3367613301257,2,PIA
-524.0,3959.0,2,PIA
-555.942668912427,3984.774241221664,2,PIA
-582.0,4005.0,2,PIA
-628.0,4037.0,2,PIA
-668.5795544993329,4056.59169460432,2,PIA
-747.0,4085.0,2,PIA
-768.7813318009314,4089.854610899747,2,PIA
-788.0,4089.0,2,PIA
-800.3659268498632,4088.3489692197213,2,PIA
-844.1763444153411,4084.1466540855736,2,PIA
-845.0,4084.0,2,PIA
-916.9191564858045,4059.3884896885306,2,PIA
-927.0,4054.0,2,PIA
-952.6973457929263,4037.4963301689822,2,PIA
-1000.0,3995.0,2,PIA
-1007.7401803513443,3986.3670164764776,2,PIA
-1037.0,3945.0,2,PIA
-1043.3719538090818,3934.5105574846093,2,PIA
-1065.0,3893.0,2,PIA
-1082.2614444934359,3848.9916362169274,2,PIA
-1098.0,3804.0,2,PIA
-1110.1798011251406,3764.7508665971413,3,HUL
-1115.0,3743.0,3,HUL
-1123.7628890440626,3698.6104139751674,3,HUL
-1136.0,3632.0,3,HUL
-1141.3297851801167,3599.33371671427,3,HUL
-1144.0,3576.0,3,HUL
-1148.4682547130803,3529.28324209606,3,HUL
-1153.5858701979807,3452.8140763180163,3,HUL
-1154.0,3437.0,3,HUL
-1153.5096561068563,3377.5504574581,3,HUL
-1153.0,3360.0,3,HUL
-1150.7366189096986,3305.1639981595204,3,HUL
-1150.0,3294.0,3,HUL
-1138.285988093163,3188.568741315466,3,HUL
-1136.0,3171.0,3,HUL
-1125.3826084028526,3100.224145365937,3,HUL
-1118.0,3068.0,3,HUL
-1100.31886714308,3000.221426984786,3,HUL
-1066.0,2878.0,3,HUL
-1055.4532374926387,2841.3286222139363,3,HUL
-1038.0550449076686,2790.7913199385735,3,HUL
-1019.0,2743.0,3,HUL
-963.4206826823375,2603.6378513460177,3,HUL
-934.0,2530.0,3,HUL
-912.681758884907,2476.9622200186677,3,HUL
-893.0,2430.0,3,HUL
-867.6416730637368,2370.5320839998653,3,HUL
-831.0,2285.0,3,HUL
-827.2435037750272,2276.2414117676794,3,HUL
-787.0,2181.0,3,HUL
-774.6619260841063,2150.7707687970214,3,HUL
-696.0,1954.0,3,HUL
-685.1718733992883,1926.6228456029314,3,HUL
-649.0177838616299,1832.3724523583599,4,HUL
-627.0,1768.0,4,HUL
-585.9132949312122,1643.648430565491,4,HUL
-577.0,1615.0,4,HUL
-554.7147359899387,1538.8797796573583,4,HUL
-547.0,1511.0,4,HUL
-520.4757433411663,1407.9921087453652,4,HUL
-520.0,1406.0,4,HUL
-486.7645872075688,1246.713971888143,4,HUL
-478.0,1193.0,4,HUL
-466.0,1095.0,4,HUL
