Minisector,HAM,PIA,Fastest
0,305.3469864285714,290.41053708246915,HAM
1,325.5007713476768,299.24690127058824,HAM
2,330.83184518095237,303.08697476302524,HAM
3,322.08535932054656,296.1307587994771,HAM
4,165.90850738410884,165.90274750505708,HAM
5,207.29170627968026,204.74004653022533,HAM
6,229.28434560987017,228.88640879359428,HAM
7,266.1193833003361,263.8818013766256,HAM
8,245.11493446133332,252.90304982093897,PIA
9,156.17087198154704,162.70072325004787,PIA
10,215.9798985346032,223.45081957225028,PIA
11,130.7016206483068,127.80288190993502,HAM
12,232.39343860242946,226.19526009391507,HAM
13,176.80877479405262,176.00629778659166,HAM
14,216.40203248825665,209.82519281778517,HAM
15,237.59158530224443,239.92084270545456,PIA
16,269.2575081916266,260.6580671117165,HAM
17,293.13770768625244,284.9667233016002,HAM
18,148.2687459206403,164.4296324849632,PIA
19,161.88792179637815,163.38556895804388,PIA
20,132.3271029747298,135.72715101213228,PIA
21,224.53596818493506,224.81836782730156,PIA
22,257.72236451245294,259.7556764544416,PIA
23,244.23154254560464,250.80961036067094,PIA
24,272.0733163138322,271.40539258083993,HAM
25,288.87000064,284.7142857142857,HAM
