X,Y,Minisector,Fastest
1450.5276199690677,-134.972660418764,0,LEC
1383.4518828420178,-239.96828483181437,0,LEC
1377.0,-250.0,0,LEC
1308.0,-357.0,0,LEC
1297.3054314022063,-373.71511824980604,0,LEC
1206.0,-518.0,0,LEC
1137.0,-627.0,0,LEC
1108.968683429416,-670.9504560599507,0,LEC
1068.0,-735.0,0,LEC
1039.8869877807194,-779.0287665868773,0,LEC
938.0,-939.0,0,LEC
903.0,-994.0,0,LEC
866.8024535095695,-1050.9313184062833,0,LEC
780.8792982896537,-1186.347921110979,0,LEC
764.0,-1213.0,0,LEC
698.4232344117661,-1316.6551533056381,0,LEC
642.0,-1406.0,0,LEC
623.6472880708156,-1435.1171868676622,0,LEC
555.0,-1544.0,0,LEC
535.9466288540276,-1574.0152737447322,0,LEC
423.0,-1751.0,1,LEC
388.6715209670574,-1804.5845062242238,1,LEC
308.0,-1931.0,1,LEC
167.0,-2154.0,1,LEC
155.14119792094112,-2172.7546192507784,1,LEC
96.0,-2266.0,1,LEC
69.31699522816203,-2308.213957008592,1,LEC
-28.0,-2461.0,1,LEC
-58.40821902546123,-2508.1455609603795,1,LEC
-183.0,-2700.0,1,LEC
-196.40884768651347,-2720.529563825868,1,LEC
-258.91210539360867,-2814.908459843045,1,LEC
-293.0,-2866.0,1,LEC
-404.8671102417883,-3034.7632397128855,1,LEC
-413.0,-3047.0,1,LEC
-570.3006280086917,-3282.9432000640986,1,LEC
-579.0,-3296.0,1,LEC
-680.1690695925462,-3448.1251340657413,2,LEC
-751.5145437866353,-3555.3334545555817,2,LEC
-764.0,-3574.0,2,LEC
-799.4392091282315,-3626.6358220766106,2,LEC
-839.0,-3685.0,2,LEC
-951.0,-3851.0,2,LEC
-982.1215405035936,-3897.4941890897403,2,LEC
-1074.4613620490632,-4036.040406046315,2,LEC
-1100.0,-4074.0,2,LEC
-1149.2530292940748,-4146.679784407947,2,LEC
-1175.0,-4185.0,2,LEC
-1249.0,-4297.0,2,LEC
-1260.4867988524718,-4314.2208726074405,2,LEC
-1362.0,-4464.0,2,LEC
-1374.891582597373,-4483.022632854763,2,LEC
-1485.0216359362823,-4646.248956002735,2,LEC
-1523.0,-4703.0,2,LEC
-1594.5588340393356,-4811.112974516585,2,LEC
-1633.0,-4870.0,3,LEC
-1675.891007080438,-4936.352623566181,3,LEC
-1724.0,-5012.0,3,LEC
-1813.4892583172302,-5157.1785261425,3,LEC
-1820.0,-5168.0,3,LEC
-1914.0,-5328.0,3,LEC
-1950.4295240127135,-5391.021306121848,3,LEC
-1982.0,-5446.0,3,LEC
-2034.8259527169027,-5538.822233733839,3,LEC
-2057.0,-5578.0,3,LEC
-2164.27364307759,-5769.252720027744,3,LEC
-2189.0,-5814.0,3,LEC
-2239.967651445516,-5906.921628145652,3,LEC
-2311.0,-6035.0,3,LEC
-2391.4701761036395,-6174.29060796322,3,LEC
-2478.0927651272773,-6318.8455478425085,3,LEC
-2521.0,-6389.0,3,LEC
-2532.352528589355,-6407.141398506498,3,LEC
-2567.0,-6458.0,4,LEC
-2592.392033511954,-6494.082175630668,4,LEC
-2663.0,-6591.0,4,LEC
-2685.2464625202515,-6619.367039703482,4,LEC
-2726.0,-6669.0,4,LEC
-2741.220166457448,-6686.853690523016,4,LEC
-2801.0,-6753.0,4,LEC
-2849.7306129913845,-6801.655601910274,4,LEC
-2895.0,-6842.0,4,LEC
-2930.3041335556554,-6869.939022937191,4,LEC
-2956.0,-6889.0,4,LEC
-2977.0,-6904.0,4,LEC
