X,Y,Minisector,Fastest
-3678.552095102311,-5254.535711242528,0,HAM
-3672.0,-5280.0,0,HAM
-3664.7321063620025,-5308.197867697858,0,HAM
-3636.0,-5420.0,0,HAM
-3621.847417451321,-5476.42725219296,0,HAM
-3605.0,-5544.0,0,HAM
-3544.2991574179496,-5781.20890755943,0,HAM
-3509.0,-5917.0,0,HAM
-3506.383477251479,-5926.9905205348105,0,HAM
-3465.0,-6082.0,0,HAM
-3441.1495657058476,-6169.448503113001,0,HAM
-3402.0,-6314.0,0,HAM
-3376.577136367616,-6410.597400916308,0,HAM
-3367.0,-6447.0,0,HAM
-3307.0355486569147,-6670.450561004234,0,HAM
-3305.0,-6678.0,0,HAM
-3244.966795090076,-6900.7023697240265,0,HAM
-3243.0,-6908.0,0,HAM
-3194.465683757812,-7087.417394178092,1,HAM
-3191.0,-7100.0,1,HAM
-3158.8919518135076,-7216.156633325415,1,HAM
-3128.0,-7326.0,1,HAM
-3098.0,-7430.0,1,HAM
-3095.4990363743673,-7438.736297207631,1,HAM
-3070.0,-7528.0,1,HAM
-3039.233248744652,-7629.699230671362,1,HAM
-3031.0,-7656.0,1,HAM
-3004.0,-7740.0,1,HAM
-2985.0925447576424,-7797.207583771322,1,HAM
-2964.0,-7858.0,1,HAM
-2924.031869577747,-7961.454675119702,1,HAM
-2923.0,-7964.0,1,HAM
-2896.466067556652,-8027.74967138182,1,HAM
-2885.0,-8054.0,1,HAM
-2857.0,-8114.0,1,HAM
-2847.140013860319,-8133.23317509824,1,HAM
-2835.0,-8156.0,1,HAM
-2800.2457551330385,-8219.367512814884,1,HAM
-2764.0,-8276.0,1,HAM
-2710.1759798252956,-8345.398214708646,1,HAM
-2693.0,-8366.0,1,HAM
-2645.0,-8414.0,1,HAM
-2634.4811776441725,-8423.055825058087,1,HAM
-2599.0,-8451.0,1,HAM
-2546.353542000542,-8480.727583430133,2,TSU
-2510.0,-8497.0,2,TSU
-2501.406770245673,-8500.37724456461,2,TSU
-2435.994557170012,-8514.936429110568,2,TSU
-2425.0,-8516.0,2,TSU
-2382.6952908113826,-8518.236165820614,2,TSU
-2375.0,-8518.0,2,TSU
-2310.616413293332,-8508.500017274591,2,TSU
-2304.0,-8507.0,2,TSU
-2250.0,-8488.0,2,TSU
-2238.9493348919545,-8482.745876737223,2,TSU
-2194.0,-8458.0,2,TSU
-2133.6392792805664,-8415.37262755598,2,TSU
-2110.0,-8397.0,2,TSU
-2064.250362501952,-8358.588252054915,2,TSU
-2032.0,-8330.0,2,TSU
-2026.4220156741471,-8325.05785811055,2,TSU
-1979.1749440635522,-8283.433460119799,2,TSU
-1966.0,-8272.0,2,TSU
-1907.0,-8222.0,2,TSU
-1902.0,-8218.0,2,TSU
-1883.1718592901855,-8202.948719033888,2,TSU
-1843.0,-8172.0,2,TSU
-1792.2273349081238,-8138.2156981208245,2,TSU
-1773.0,-8127.0,2,TSU
-1746.100600976209,-8112.901546694339,2,TSU
-1714.0,-8099.0,2,TSU
-1643.0,-8078.0,2,TSU
-1597.7290136632814,-8072.94788149551,2,TSU
-1544.3927501132987,-8075.710740010189,2,TSU
-1542.0,-8076.0,2,TSU
-1472.0,-8090.0,2,TSU
