Minisector,VER,HAM,Fastest
0,309.906776522857,312.3575115940741,HAM
1,192.3871540086286,192.2253825635222,VER
2,111.83961107349316,107.9201540839137,VER
3,199.86786891185184,194.53653941404838,VER
4,257.8844521779107,255.87076424078103,VER
5,285.0699269281999,285.8567132847619,HAM
6,301.37697323990926,302.1670404001114,HAM
7,234.9193226393601,230.92595277015474,VER
8,144.58934670099737,141.38523933945018,VER
9,232.0010943228226,225.53589249026146,VER
10,271.7709642516959,270.4089209559808,VER
11,235.24227184561403,237.2670012157899,HAM
12,177.5748213902836,174.32220537102222,VER
13,106.59975437212124,103.63264456500724,VER
14,108.40515047556364,105.54654837457635,VER
15,142.8635772620683,135.31458084447934,VER
16,111.37516131891694,114.51206149494101,HAM
17,214.04970525044735,202.5370194630182,VER
18,158.06916636185008,142.68544389561555,VER
19,145.45145383014142,155.42618991711774,HAM
20,242.47766592,244.07046115593906,HAM
21,274.04577208574887,276.43272258083533,HAM
22,292.29752957086833,298.23969651666664,HAM
23,300.75064471111114,309.91623846531496,HAM
24,307.0591301762238,315.38660259282057,HAM
25,309.0,,VER
