Minisector,PIA,HAM,Fastest
0,254.29622818945623,252.82662749767223,PIA
1,225.0775561304712,210.89177278801142,PIA
2,212.20310397340268,200.70453338600996,PIA
3,256.42562528,253.69504388694017,PIA
4,270.3528600131991,266.47211077095005,PIA
5,289.1566381248603,284.6678572669948,PIA
6,147.49341168789667,160.6152070772159,HAM
7,190.00789214926294,180.12794124639612,PIA
8,270.5341927941243,272.6645322847118,HAM
9,296.5247877359447,307.8612514646879,HAM
10,306.3394018714408,324.5787318847832,HAM
11,304.8788851073231,331.3997016256945,HAM
12,114.00732613483753,111.36334051145425,PIA
13,192.4948341672295,180.3346212519647,PIA
14,271.38634263404015,266.7430047730004,PIA
15,292.8924382465587,293.504319151746,HAM
16,296.4172633953185,297.7354410323451,HAM
17,189.3211013158048,190.09134786313595,HAM
18,225.13428552059395,211.0477926607245,PIA
19,273.2269162585864,265.6443717829709,PIA
20,157.75120904189887,158.82628096513852,HAM
21,148.35714812408065,144.15666464610828,PIA
22,228.82089761850656,215.09005420310476,PIA
23,242.93217918456415,238.23850218794436,PIA
24,160.00926006206598,153.81237137805488,PIA
25,225.9,224.53045468877966,PIA
