Minisector,NOR,RUS,Fastest
0,297.28733837627175,300.5682144454581,RUS
1,208.33898080235372,189.33378183889255,NOR
2,225.57044052249216,219.79446824998433,NOR
3,275.7038947614446,276.6176866676223,RUS
4,246.9546750818481,224.23998494561974,NOR
5,132.3168810970244,124.37670169818195,NOR
6,209.78813641446874,204.21181810253495,NOR
7,244.70309500283705,241.57171176066208,NOR
8,239.01352247412495,232.8236651542942,NOR
9,232.35749130676643,229.1239460956433,NOR
10,274.4099970025198,274.5873005133837,RUS
11,289.2066307832125,290.8506397842391,RUS
12,293.46846754156434,296.9191386844163,RUS
13,295.3835993563407,299.0348874428232,RUS
14,295.5775414105806,297.6669172932331,RUS
15,249.21648277525335,226.89756812874617,NOR
16,239.5018793722142,227.6360556014669,NOR
17,277.8640346751868,270.9428997579742,NOR
18,289.3487023809524,285.48652090637495,NOR
19,157.7630143597912,142.1148939627398,NOR
20,212.1331632852725,196.7255453230728,NOR
21,174.3545405490031,168.39360370072936,NOR
22,146.5395428359409,144.17853563874587,NOR
23,245.47693788937752,242.8136423144202,NOR
24,284.28237131221374,284.6152463481417,RUS
