Minisector,NOR,LEC,Fastest
0,290.8162354261396,289.9154519352539,NOR
1,158.25735923074157,165.11301835125747,LEC
2,156.3496581033611,149.75504119947985,NOR
3,232.29209705909102,233.7314181258133,LEC
4,295.7378641711057,293.616568604565,NOR
5,289.60758438287644,283.6355419553787,NOR
6,145.70786282430322,144.3625461825769,NOR
7,138.7511770893852,144.34114723035967,LEC
8,135.41771171009984,134.93698432087518,NOR
9,195.59330166332938,198.8300688947916,LEC
10,130.60980194497114,128.05610252942859,NOR
11,128.7432834589961,121.99733258274662,NOR
12,174.83100526814735,181.43134293779192,LEC
13,270.9166522960854,272.5881425100531,LEC
14,293.7974534961947,295.40599748448966,LEC
15,147.33992145170916,157.11625838570535,LEC
16,199.06659897654615,192.95766450487858,NOR
17,175.36722383919513,186.4111726318863,LEC
18,272.46383502091226,276.6972741956779,LEC
19,298.80693603459156,300.07515162963705,LEC
20,312.24855536447205,315.769640029899,LEC
21,320.07551827112627,323.1438534627651,LEC
22,327.8177567690488,328.19389125035354,LEC
23,338.42509717422223,332.76121754298146,NOR
24,341.1002842734497,330.4924411389488,NOR
25,340.884735378888,,NOR
