Minisector,LEC,TSU,Fastest
0,293.70869081142854,304.0512750248539,TSU
1,304.83650318702234,320.07628303265676,TSU
2,291.0997871809774,306.0425272180451,TSU
3,110.00514535390788,104.51809266301038,LEC
4,220.40160385346502,219.18851555517756,LEC
5,274.3051414773183,279.5632134025321,TSU
6,209.38369851950708,190.15729616378852,LEC
7,154.1784975187995,165.2624896594013,TSU
8,203.38795778428914,202.2223258840688,LEC
9,220.30890622098386,214.12170355269782,LEC
10,121.15297747954934,112.41011146176005,LEC
11,229.57906243792917,225.6331672848041,LEC
12,117.53540617962013,116.38606547725364,LEC
13,227.33356491555557,222.83152271996363,LEC
14,276.4432707113315,276.13942972749203,LEC
15,216.42760838270388,204.9277097441694,LEC
16,189.4771925495872,186.769591101015,LEC
17,251.69916687183672,243.19109590724636,LEC
18,189.3246914621216,181.77495601486729,LEC
19,186.0740049599162,178.92270582448978,LEC
20,267.4681343011111,262.53988167583225,LEC
21,287.4844955972789,288.11278849259446,TSU
22,165.4612336100901,156.25277119800046,LEC
23,204.93631784089212,209.071056881002,TSU
24,276.4850069029957,270.5354213481511,LEC
