Minisector,NOR,GAS,Fastest
0,307.36393245306147,292.04598304409853,NOR
1,322.6656847919098,303.43993961430294,NOR
2,303.1099381669759,268.3818894204982,NOR
3,103.50376814201331,104.35339384391796,GAS
4,226.58921877454918,224.75300350284704,NOR
5,282.4353983180375,275.2152211494424,NOR
6,221.53602155530407,192.1745692690685,NOR
7,154.42313993943014,163.53233215157886,GAS
8,209.2446521727556,210.54922658482852,GAS
9,210.05922418864816,208.80539513852432,NOR
10,115.58243003747066,113.60788303902528,NOR
11,228.48203090926108,229.0537698219419,GAS
12,115.55559042266943,115.48521828785663,NOR
13,221.21738493034925,230.5124768347475,GAS
14,275.7271738434783,279.1954225680808,GAS
15,216.90515965504048,200.72352202591802,NOR
16,180.8547500905428,199.39147554974755,GAS
17,244.1113292431527,251.77683743492062,GAS
18,200.79095526511435,180.2736475317412,NOR
19,180.33575018030646,192.8230957137778,GAS
20,263.44552722165577,266.8262934005163,GAS
21,288.8275538011297,291.6498247339682,GAS
22,176.91582923715876,163.98502627785794,NOR
23,210.8096588707648,221.04348935347122,GAS
24,271.7246014737572,273.1307271551294,GAS
