Minisector,LEC,GAS,Fastest
0,260.5184936886131,255.39798114530035,LEC
1,131.83842425218248,133.88883736009063,GAS
2,269.85940317633475,268.83197207182303,LEC
3,311.1957720639821,311.7174732223266,GAS
4,309.7745289999724,313.08702372219784,GAS
5,318.3899538687227,321.93603572303397,GAS
6,323.5836096764022,326.0604333568,GAS
7,322.5672,322.15507944371416,LEC
8,198.64149888673626,193.95418608353077,LEC
9,206.94724383679196,202.9131105186032,LEC
10,179.3314000651882,180.80031839148353,GAS
11,174.49433731797768,170.3328980360548,LEC
12,261.07611339904344,253.57246384169284,LEC
13,284.1010132329908,271.8683763471156,LEC
14,287.45046379244667,284.3587420215692,LEC
15,279.0920545385104,281.0153472474074,GAS
16,170.8146371424305,173.94703292011712,GAS
17,197.72730174611462,195.43427975038756,LEC
18,250.97648102103705,246.87107185451245,LEC
19,294.1112488875844,294.13836782789264,GAS
20,312.0108025169463,313.972796007619,GAS
21,317.779029265348,320.82928286597127,GAS
22,316.2634573578422,317.03497136234495,GAS
23,272.12723849142856,239.34434321363733,LEC
24,118.79779895050802,120.93966831958647,GAS
25,232.34999679999999,,LEC
