Minisector,NOR,GAS,Fastest
0,261.47085352893544,255.39798114530035,NOR
1,133.51817734544218,133.88883736009063,GAS
2,269.11954775254486,268.83197207182303,NOR
3,311.4376052649908,311.7174732223266,GAS
4,311.3550504740135,313.08702372219784,GAS
5,318.5697863936811,321.93603572303397,GAS
6,322.4405493236364,325.8932246631884,GAS
7,322.63138014444445,322.9717461103808,GAS
8,206.7935901084543,199.77027045173867,NOR
9,206.78338295042363,201.46183846752052,NOR
10,182.38227859868888,182.25940206440438,NOR
11,175.07705791865695,169.4831922515683,NOR
12,261.15019059739797,252.01112098228342,NOR
13,279.72437348988717,272.50909637488485,NOR
14,289.9162849608211,282.7040756875169,NOR
15,275.8337330697143,284.9003267634568,GAS
16,183.713801623908,173.494886398905,NOR
17,200.59279342886174,195.45679330296161,NOR
18,251.33790225710763,242.72228493539137,NOR
19,293.9617247294092,292.93836782789265,NOR
20,313.3696037288312,313.1792219110559,NOR
21,318.01344698181816,320.5670805149509,GAS
22,316.221627015873,317.5052038896655,GAS
23,264.7231916551661,255.84620359012163,NOR
24,115.48445805697901,116.95900510030722,GAS
25,231.36249813333333,232.2296868,GAS
