Minisector,VER,RUS,Fastest
0,257.5419068265726,261.3494180942203,RUS
1,132.86500023656606,134.22331234128586,RUS
2,270.22532142774975,267.45982472135864,VER
3,309.5747940838278,309.35808660540954,VER
4,309.9160492311728,310.6730780369358,RUS
5,317.653450074249,321.3169882132996,RUS
6,322.3763634269008,326.42553007721847,RUS
7,318.85659104,328.5512137708212,RUS
8,206.2708572953148,204.14865607869336,VER
9,204.73914922044554,197.39084656568437,VER
10,184.65118274296555,181.35876273155947,VER
11,176.35901395212886,167.70494646426397,VER
12,258.292351927132,254.61958754481566,VER
13,283.00056924554116,280.09781174925973,VER
14,286.8080612244898,284.1654798973698,VER
15,272.7823228625985,283.9267440344472,RUS
16,173.19406797647588,169.15766934060946,VER
17,197.8578282349059,195.66273879334022,VER
18,248.97451844009154,246.33404215288888,VER
19,292.2569752849383,290.3519803005257,VER
20,311.75624755452037,312.60589864589775,RUS
21,317.34112135314285,319.7235117661453,RUS
22,315.7567376278293,318.04996997147697,RUS
23,270.6989296058608,270.51376695848205,VER
24,119.2939059912624,116.42936013120958,VER
