Minisector,VER,RUS,Fastest
0,279.35518294222226,275.7096921859364,VER
1,297.5620090724894,298.06579888126987,RUS
2,298.272529389811,300.5280451753383,RUS
3,187.00453195471195,186.6509122446011,VER
4,119.80701883148336,115.04919989263931,VER
5,236.25323988524397,236.68248022957582,RUS
6,285.31539146593104,281.3879045984107,VER
7,294.40081822857144,299.4745823893333,RUS
8,169.7917909642245,174.75886725916519,RUS
9,142.0037676290619,139.09874044564282,VER
10,251.33225140029361,252.02306208211198,RUS
11,292.64412235950306,290.10365876285715,VER
12,298.2798522587508,300.843698039972,RUS
13,279.4706373499034,282.3959618126407,RUS
14,304.101607374043,305.6457487176289,RUS
15,306.5223861597691,314.12309270690906,RUS
16,246.50169862921908,241.13430489069827,VER
17,225.02859186089373,222.51875842666666,VER
18,284.74152275331585,277.623495310358,VER
19,309.74505424098766,305.8111164602597,VER
20,316.81125385452714,315.3018547784127,VER
21,236.099122524,230.05814493753604,VER
22,260.3579118092929,259.73192513493024,VER
23,136.7517140805243,132.0838188703215,VER
24,209.46932176027488,209.20077243505187,VER
25,261.1071451428572,,VER
