Minisector,RUS,HAM,Fastest
0,281.42370998973036,285.42647123002797,HAM
1,122.0071877828362,122.49728083060558,HAM
2,163.71290897833507,157.6280163987832,RUS
3,218.96055937163638,215.39310114031744,RUS
4,170.7699627798121,159.67597477011182,RUS
5,243.22120613614038,243.37697104550267,HAM
6,226.98172207790273,219.51152337842177,RUS
7,135.09962114233826,135.6102040152381,HAM
8,226.8184791109433,231.24331741608356,HAM
9,276.31138569222225,277.4582041,HAM
10,292.002695852344,287.5515969975655,RUS
11,166.2604415893651,152.15529458171582,RUS
12,217.05824447016553,216.8214963261678,RUS
13,268.5969814689216,269.01589349260934,HAM
14,276.72672102233764,277.27792316978184,HAM
15,102.56363732996569,99.41612013748765,RUS
16,201.90321145697723,209.57781005762305,HAM
17,270.9638218186147,268.5093770472023,RUS
18,291.20672294184874,291.83245954380953,HAM
19,303.44689481981266,303.915699415873,HAM
20,308.3972222273016,309.42416662222223,HAM
21,286.77759115670995,301.97828612508584,HAM
22,157.47166676667763,156.27979348419458,RUS
23,235.93812226285715,226.63044506302896,RUS
24,275.29834235050515,272.85357281447966,RUS
25,287.88500096,288.40149654591687,HAM
