Minisector,NOR,OCO,Fastest
0,285.46700840749514,282.9825493127075,NOR
1,301.6161456875421,296.8206221256288,NOR
2,244.9159169211487,247.38406378666707,OCO
3,115.45057504045144,118.50802109586098,OCO
4,133.67890977759498,136.59706608321494,OCO
5,252.1883924063492,252.21032434487984,OCO
6,255.29882364305624,272.3055051561077,OCO
7,125.08584309850006,121.61388235414042,NOR
8,247.19938513720928,245.46455434655576,NOR
9,263.8730030015855,266.1995965821299,OCO
10,228.61843533964174,206.3831160728622,NOR
11,138.583409867183,142.6657426715436,OCO
12,204.33840450113584,198.48913778001383,NOR
13,268.00155831914753,266.68774474825165,NOR
14,117.78571269214511,123.28748026939218,OCO
15,188.70403948175087,182.41374325524083,NOR
16,262.79619912079727,258.1636928329197,NOR
17,291.4794025991111,289.673020403147,NOR
18,304.1305407753005,303.91556020011956,NOR
19,311.1918274077193,310.6710714940952,NOR
20,312.52293348090427,312.17074825287983,NOR
21,187.3929429334588,212.65379540800188,OCO
22,144.33539512123676,127.96334376277511,NOR
23,209.754814233934,210.0130075288381,OCO
24,240.01577223987118,226.52006193343837,NOR
25,273.14444373333333,267.2875005866667,NOR
