X,Y,Minisector,Fastest
252.65781009435574,-1447.994298700372,0,BEA
105.77556230330897,-1484.2961353269372,0,BEA
-57.428034316015214,-1524.8537490110239,0,BEA
-66.0,-1527.0,0,BEA
-146.30263158142057,-1547.37364531691,0,BEA
-181.0,-1556.0,0,BEA
-341.0,-1595.0,0,BEA
-389.76899705277873,-1606.6339374023846,0,BEA
-517.0,-1637.0,0,BEA
-537.4540478678758,-1642.0271497204255,0,BEA
-678.0,-1677.0,0,BEA
-696.1591409664557,-1681.4167196666972,0,BEA
-842.9352266791485,-1716.339965233208,0,BEA
-858.0,-1720.0,0,BEA
-1036.4096973882665,-1763.9743469282648,0,BEA
-1097.0,-1779.0,0,BEA
-1237.1948092072191,-1813.975540745937,0,BEA
-1310.0,-1832.0,0,BEA
-1464.0,-1870.0,0,BEA
-1499.6501321398414,-1878.95763046627,0,BEA
-1587.0,-1901.0,0,BEA
-1771.3760945944662,-1946.126388477153,1,BEA
-1787.0,-1950.0,1,BEA
-2098.0,-2028.0,1,BEA
-2139.886523295935,-2038.424820758356,1,BEA
-2175.0,-2047.0,1,BEA
-2291.58440662623,-2076.286671330244,1,BEA
-2411.0,-2106.0,1,BEA
-2522.0,-2133.0,1,BEA
-2525.1338691668334,-2133.7589796887464,1,BEA
-2815.0,-2204.0,1,BEA
-2841.3412463865784,-2210.4107892570432,1,BEA
-3090.0,-2271.0,1,BEA
-3221.8304690567197,-2302.9073451941886,1,BEA
-3284.0,-2318.0,1,BEA
-3360.588614376959,-2336.7223523382772,1,BEA
-3451.0,-2359.0,1,BEA
-3575.805695716342,-2390.00237187425,1,BEA
-3588.0,-2393.0,1,BEA
-3760.3193833506434,-2434.453730292739,1,BEA
-3788.0,-2441.0,1,BEA
-3926.0,-2473.0,2,OCO
-4006.1163964037305,-2490.49237596925,2,OCO
-4142.0,-2518.0,2,OCO
-4161.544064971725,-2521.7182569995016,2,OCO
-4236.0,-2535.0,2,OCO
-4380.714470504069,-2553.5936070724974,2,OCO
-4439.0,-2558.0,2,OCO
-4535.461360200105,-2561.096889910111,2,OCO
-4623.0,-2559.0,2,OCO
-4686.70098529048,-2554.257122790884,2,OCO
-4769.0,-2544.0,2,OCO
-4905.0,-2512.0,2,OCO
-4909.042961990269,-2510.643450707835,2,OCO
-5112.0,-2429.0,2,OCO
-5164.248148906848,-2403.921593791876,2,OCO
-5199.0,-2378.0,2,OCO
-5303.125563787005,-2295.989785410432,2,OCO
-5369.0,-2241.0,2,OCO
-5419.360369949765,-2193.7759416688114,2,OCO
-5464.573900415146,-2131.9009322489046,2,OCO
-5483.0,-2100.0,2,OCO
-5526.031147539695,-2018.60296200707,2,OCO
-5575.0,-1920.0,2,OCO
-5580.504049971708,-1908.5191925281747,2,OCO
-5597.0,-1853.0,2,OCO
-5601.171159515644,-1831.2804908405105,2,OCO
-5627.010815577382,-1688.7519964150624,2,OCO
-5630.0,-1666.0,2,OCO
-5634.29699159001,-1580.6278525865882,3,OCO
-5625.809998248363,-1527.0435007203637,3,OCO
-5618.0,-1487.0,3,OCO
-5604.232479808611,-1423.9500416815038,3,OCO
-5601.0,-1413.0,3,OCO
-5553.452170653175,-1292.88829992714,3,OCO
-5544.0,-1273.0,3,OCO
-5537.0,-1259.0,3,OCO
-5524.9032515738245,-1237.4278992015672,3,OCO
-5484.0,-1180.0,3,OCO
-5474.239413750867,-1167.9206851764682,3,OCO
-5442.0,-1132.0,3,OCO
-5413.3921955766,-1105.2325355122957,3,OCO
-5344.0,-1052.0,3,OCO
-5313.116703522683,-1033.2174149385146,3,OCO
-5266.0,-1012.0,3,OCO
-5264.935701594663,-1011.58686178503,3,OCO
-5209.0,-993.0,3,OCO
-5196.356417109951,-989.8181043807017,3,OCO
-5151.0,-982.0,3,OCO
-5137.417385589749,-980.7524578169665,3,OCO
-5050.0,-982.0,3,OCO
-5048.865020840505,-982.1213191780639,3,OCO
-4989.846824522464,-994.50026247208,3,OCO
-4959.0,-1005.0,3,OCO
-4904.0,-1032.0,3,OCO
-4890.069574383538,-1042.360075946071,3,OCO
-4822.0,-1103.0,3,OCO
-4808.280608805998,-1117.8352941193002,3,OCO
-4802.0,-1128.0,3,OCO
-4776.963951928607,-1168.446356749184,3,OCO
-4775.0,-1172.0,3,OCO
-4749.0,-1236.0,3,OCO
-4745.000713988297,-1251.336799052884,3,OCO
-4738.0,-1289.0,3,OCO
-4734.791649378221,-1320.0707759897507,3,OCO
-4734.0,-1334.0,3,OCO
-4735.0,-1393.0,3,OCO
-4736.422343851645,-1406.8701318597089,3,OCO
-4750.0,-1488.0,3,OCO
-4751.465304606752,-1495.5052280834648,3,OCO
-4766.414607629718,-1569.2445514072563,3,OCO
-4769.0,-1586.0,3,OCO
-4776.0,-1649.0,3,OCO
-4775.0,-1717.0,3,OCO
-4774.213585449494,-1724.77960718193,3,OCO
-4772.0,-1742.0,3,OCO
-4762.813291031519,-1786.2041900535232,3,OCO
-4736.0,-1853.0,3,OCO
-4706.6921974335555,-1895.2967251381476,4,BEA
-4666.0,-1940.0,4,BEA
-4662.041880251487,-1944.0100380112658,4,BEA
-4633.892841855738,-1967.9302310192486,4,BEA
-4603.0,-1981.0,4,BEA
-4518.0,-2005.0,4,BEA
-4476.254307882438,-2011.7670979436007,4,BEA
-4428.431523818103,-2004.81414134479,4,BEA
-4401.0,-1995.0,4,BEA
-4367.398633431691,-1980.9940780475365,4,BEA
-4328.7023447934225,-1963.0208008830025,4,BEA
-4311.0,-1954.0,4,BEA
-4293.147142115076,-1943.4007015806383,4,BEA
-4276.0,-1930.0,4,BEA
-4256.572884404472,-1913.4214289081801,4,BEA
-4228.0,-1887.0,4,BEA
-4215.796974327534,-1874.4343258536694,4,BEA
-4179.0,-1829.0,4,BEA
-4175.049625692593,-1823.242086442038,4,BEA
-4169.0,-1814.0,4,BEA
-4111.624352428165,-1707.499256044217,4,BEA
-4100.0,-1683.0,4,BEA
-4087.800997214218,-1653.8561616394081,4,BEA
-4077.0,-1616.0,4,BEA
-4068.4875384047064,-1581.3964586437821,4,BEA
-4054.0,-1511.0,4,BEA
-4047.0,-1455.0,4,BEA
-4045.606715969678,-1436.6799785992152,4,BEA
-4043.91003956957,-1369.506622069735,4,BEA
-4044.0,-1363.0,4,BEA
-4050.4956999852434,-1261.1240540185468,4,BEA
-4055.0,-1226.0,4,BEA
-4069.2770321072144,-1147.3312560897411,4,BEA
-4078.0,-1111.0,4,BEA
-4104.0,-1024.0,4,BEA
-4146.0,-916.0,4,BEA
-4147.552914932436,-912.7399762456075,4,BEA
-4205.0,-801.0,4,BEA
-4206.954517485014,-797.3602735775818,4,BEA
-4258.605688432933,-710.8608159070155,4,BEA
-4276.0,-686.0,4,BEA
-4346.0,-592.0,4,BEA
-4348.884184063189,-588.3868743755776,4,BEA
-4535.0,-369.0,5,BEA
-4554.150375154745,-346.9282129175613,5,BEA
-4603.764498036475,-290.76086444164,5,BEA
-4644.0,-247.0,5,BEA
-4675.149358518059,-213.3469198839059,5,BEA
-4714.0,-171.0,5,BEA
-4775.661053413005,-102.20958441384549,5,BEA
-4807.0,-68.0,5,BEA
-4906.0,38.0,5,BEA
-4932.0614083778855,66.0615437565862,5,BEA
-5040.0,184.0,5,BEA
-5080.554640060077,227.47531272430018,5,BEA
-5236.0,393.0,5,BEA
-5271.752203250934,431.30002728258273,5,BEA
-5332.435854803752,497.0954452054471,5,BEA
-5387.0,557.0,5,BEA
-5451.303573869733,627.8677844116099,5,BEA
-5490.0,672.0,5,BEA
-5519.453935090819,706.4054109525581,5,BEA
-5583.0,782.0,5,BEA
-5593.461802121831,794.5397544740895,5,BEA
-5736.0,977.0,5,BEA
-5738.589291355799,980.5955283439922,5,BEA
-5846.0,1133.0,5,BEA
-5903.8071667044715,1219.4923196630655,6,OCO
-5927.0,1258.0,6,OCO
-5964.973806747242,1321.389764491244,6,OCO
-6003.0,1387.0,6,OCO
-6066.0,1507.0,6,OCO
-6083.878089201623,1543.158826361263,6,OCO
-6162.0,1705.0,6,OCO
-6171.628799774066,1724.9931806915888,6,OCO
-6227.0,1842.0,6,OCO
-6265.087921229927,1931.0611779983624,6,OCO
-6303.0,2026.0,6,OCO
-6352.5733876012255,2153.0626440851447,6,OCO
-6367.0,2191.0,6,OCO
-6409.0,2304.0,6,OCO
-6415.7992130916355,2322.4603278768927,6,OCO
-6483.329185403577,2507.2131219379316,6,OCO
-6502.0,2559.0,6,OCO
-6528.884427566187,2634.578516877358,6,OCO
-6574.0,2763.0,6,OCO
-6602.125236348773,2842.667508324724,6,OCO
-6639.0,2947.0,6,OCO
-6656.292904154624,2995.976073614261,6,OCO
-6679.0,3061.0,7,BEA
-6679.673027419708,3062.941283045621,7,BEA
-6709.0,3149.0,7,BEA
-6720.799159408318,3187.0558822873463,7,BEA
-6735.0,3243.0,7,BEA
-6736.7641767897885,3251.638191801042,7,BEA
-6745.0,3303.0,7,BEA
-6745.17883326709,3304.550088620991,7,BEA
-6747.984603317024,3350.033224654657,7,BEA
-6748.0,3354.0,7,BEA
-6746.142935100967,3390.2025645425156,7,BEA
-6738.0,3433.0,7,BEA
-6725.50723151743,3471.395375675056,7,BEA
-6720.0,3485.0,7,BEA
