Minisector,PIA,VER,Fastest
0,282.296441105581,284.2310759225617,VER
1,298.02225464339267,300.2619704861111,VER
2,236.75453922203857,244.60059307840604,VER
3,119.44300951041421,118.0124472185438,PIA
4,132.45805626638557,139.71606493662964,VER
5,254.9199146955225,249.3530378085562,PIA
6,264.7268761066667,265.45978890613196,VER
7,121.58218720065825,123.94682149632833,VER
8,244.88698290715445,243.37658238884507,PIA
9,258.7615845613766,265.130340958961,VER
10,218.227270784015,220.45031588031443,VER
11,140.36130188093017,145.33741337432352,VER
12,203.45205855256427,205.8081971588633,VER
13,266.76223325990003,266.23293227108354,PIA
14,117.14021628639948,120.96331961760889,VER
15,192.95760804503269,186.15707148346257,PIA
16,260.75992379848174,261.5535735586684,VER
17,290.287520827232,290.49525666727646,VER
18,302.61809018962964,304.3080125107484,VER
19,310.19804749321787,311.5401361414966,VER
20,313.61251321227513,313.38142512073483,PIA
21,152.46468154116062,213.27611891247173,VER
22,163.7626058650719,131.60039964083995,PIA
23,207.33322824070234,210.9811071392137,VER
24,238.27661096921153,228.83372778616194,PIA
25,,267.52976304761904,VER
