Minisector,PIA,VER,Fastest
0,297.5762582176242,301.7771343931685,VER
1,208.19449525388035,214.00811556176623,VER
2,149.59409073129706,144.12688249738665,PIA
3,227.43642504557914,226.13264803240153,PIA
4,175.30418460947067,169.59869090330423,PIA
5,193.80207381057363,191.03772085754255,PIA
6,255.83274761461124,257.1311606247619,VER
7,277.92030356888887,281.2458922461987,VER
8,281.68782851116424,287.86671327681114,VER
9,266.61661450756304,263.2149499957895,PIA
10,256.28666653333335,252.02383141434993,PIA
11,250.30393440570964,245.68503601142078,PIA
12,221.7428531699499,210.03670053169287,PIA
13,134.77170402498425,133.87761282825073,PIA
14,147.30004319389707,147.91646683525445,VER
15,179.19244196871986,178.25203537151992,PIA
16,252.16569514013585,250.6305854042066,PIA
17,239.3493584817166,247.36942058489058,VER
18,115.68978669350568,114.94712621235276,PIA
19,201.75015957372773,204.88055967294767,VER
20,207.4687658144222,205.20759032487996,PIA
21,239.67969958944164,237.43217353999944,PIA
22,266.40831538190116,267.24029722920636,VER
23,282.02587450600123,283.77851597355266,VER
24,292.8033927583332,297.0811196133333,VER
25,295.2812504,,PIA
