Minisector,VER,ALO,Fastest
0,301.7771343931685,301.8591077687646,ALO
1,214.00811556176623,219.57569845040737,ALO
2,144.12688249738665,142.63908545370438,VER
3,227.92910319200163,223.14867952051353,VER
4,171.60654869692496,165.61082742285714,VER
5,186.7380936614454,182.4917316864539,VER
6,255.70968156571428,253.37691611733334,VER
7,280.8862605115861,276.9852796546482,VER
8,287.8089323916904,285.3065295706278,VER
9,263.2149499957895,260.67278842412696,VER
10,252.02383141434993,241.3313495202497,VER
11,245.68503601142078,239.88527460077228,VER
12,210.03670053169287,214.881010778355,ALO
13,132.67976874014659,131.27767501205562,VER
14,148.8546453244398,144.18444804196432,VER
15,178.25203537151992,176.6995464312018,VER
16,249.8088551338658,248.34560841467263,VER
17,248.15262874012285,244.53791206816464,VER
18,114.20218073061821,113.68006093410843,VER
19,202.2335788176021,199.16250332091096,VER
20,204.93176129273138,203.9168451548366,VER
21,236.04100651157842,232.883099448647,VER
22,267.24029722920636,263.5998918469841,VER
23,283.77851597355266,282.4294269636364,VER
24,297.0811196133333,294.31551512190475,VER
25,,299.0388885333333,ALO
