Minisector,VER,STR,Fastest
0,301.7771343931685,308.9109821259761,STR
1,214.00811556176623,204.1892292515679,VER
2,144.12688249738665,135.21665878567177,VER
3,227.92910319200163,221.35699445575827,VER
4,171.60654869692496,160.40917217449118,VER
5,186.7380936614454,178.95554092797295,VER
6,255.70968156571428,256.376457788606,STR
7,280.8862605115861,281.9257776924444,STR
8,287.8089323916904,289.98826123051464,STR
9,263.2149499957895,267.6821472405512,STR
10,252.02383141434993,251.70929077702743,VER
11,245.68503601142078,243.4360131371469,VER
12,210.03670053169287,220.23866405763977,STR
13,132.67976874014659,135.8806484566082,STR
14,148.8546453244398,149.52701594025518,STR
15,178.25203537151992,161.60119722093188,VER
16,249.8088551338658,252.47227590812327,STR
17,248.15262874012285,254.37251735545573,STR
18,114.20218073061821,111.52024918277974,VER
19,202.2335788176021,184.10861923428766,VER
20,204.93176129273138,203.43019750116264,VER
21,236.04100651157842,235.6329764662565,VER
22,267.24029722920636,275.474534416732,STR
23,283.77851597355266,301.12421008,STR
24,297.0811196133333,319.75650668437044,STR
25,,326.1147720727273,STR
