Minisector,PIA,LEC,Fastest
0,287.48670923683375,292.17643759741173,LEC
1,297.866506747176,304.6248637714286,LEC
2,303.9552695215686,312.6420571168337,LEC
3,297.34785030614194,313.7673808457143,LEC
4,202.82049808816328,197.49731491111817,PIA
5,221.91400942185876,220.45377277573192,PIA
6,267.9627413977489,267.92400184128337,PIA
7,268.5303625950877,263.50723185497077,PIA
8,200.4229862728205,194.3428380233745,PIA
9,142.5370853450623,147.65823718972584,LEC
10,183.80200310935643,175.14818036009123,PIA
11,263.47004988730737,261.3133675097643,PIA
12,249.16568049709727,252.83036949840158,LEC
13,229.6677571534083,231.24696448507936,LEC
14,270.50268117471865,272.74588321413387,LEC
15,176.5097914652215,167.14356053835473,PIA
16,223.70785869775239,218.17952387047617,PIA
17,235.77347572760934,241.7656123550191,LEC
18,135.52121438231455,130.57650587574173,PIA
19,242.9923924013822,240.9274480594412,PIA
20,283.324455203609,284.37255276088894,LEC
21,267.1693714622745,249.65353048211642,PIA
22,144.70685773645022,140.6543545237667,PIA
23,220.11000155647076,211.29080173714286,PIA
24,268.9444053942857,269.08541409740235,LEC
25,,283.0,LEC
