X,Y,Minisector,Fastest
-1475.6707512025368,-1603.7607200842892,0,VER
-1480.0,-1604.0,0,VER
-1762.6228892993897,-1620.2344626162464,0,VER
-1776.0,-1621.0,0,VER
-1968.243192642478,-1631.62307161984,0,VER
-2108.0,-1639.0,0,VER
-2123.3703238637586,-1639.8425014788038,0,VER
-2283.0,-1649.0,0,VER
-2380.335499221713,-1654.8862928633719,0,VER
-2506.0,-1662.0,0,VER
-2667.0,-1669.0,0,VER
-2705.6897448081286,-1670.3446884991117,0,VER
-2829.0,-1674.0,0,VER
-2868.210123426314,-1675.0766173275063,0,VER
-2997.638291848332,-1678.6718699682249,0,VER
-3008.0,-1679.0,0,VER
-3158.392375628922,-1684.537458504045,0,VER
-3170.0,-1685.0,0,VER
-3480.0,-1695.0,0,VER
-3487.2727923054867,-1695.0279707208938,0,VER
-3687.3888278381078,-1690.1387009847017,1,VER
-3819.920975343197,-1682.3123846671706,1,VER
-3854.0,-1680.0,1,VER
-3922.9348865656966,-1674.3171369936574,1,VER
-4037.163895767744,-1655.4084982958805,1,VER
-4050.0,-1653.0,1,VER
-4281.068437526948,-1607.8125553684254,1,VER
-4295.0,-1605.0,1,VER
-4408.792809477241,-1581.015355172071,1,VER
-4522.0,-1553.0,1,VER
-4554.896300995912,-1544.840801976858,1,VER
-4684.0,-1513.0,1,VER
-4767.800972989586,-1492.560473111951,1,VER
-4930.299148127881,-1453.0974012514405,1,VER
-4943.0,-1450.0,1,VER
-5149.880303179411,-1399.1657623945423,1,VER
-5300.0,-1363.0,1,VER
-5304.945370832013,-1361.8434232025493,1,VER
-5408.449364244307,-1338.3686933873503,2,VER
-5545.0,-1310.0,2,VER
-5703.0,-1282.0,2,VER
-5824.4449661401395,-1266.4336844570241,2,VER
-6020.0,-1245.0,2,VER
-6084.397042122978,-1238.8496066944772,2,VER
-6221.0,-1235.0,2,VER
-6225.274368069545,-1234.8671601747635,2,VER
-6339.0,-1231.0,2,VER
-6378.372701415896,-1230.3384386342327,2,VER
-6507.0,-1230.0,2,VER
-6614.927567803302,-1229.7492984267924,2,VER
-6726.0,-1230.0,2,VER
-6944.0,-1234.0,2,VER
-6950.534286452851,-1234.1902105312097,2,VER
-7079.0,-1239.0,2,VER
-7170.8826790553585,-1243.7358906743182,2,VER
-7351.846898800458,-1254.8806164971227,2,VER
-7382.0,-1257.0,3,VER
-7567.348617791363,-1274.1922759485112,3,VER
-7617.0,-1279.0,3,VER
-7701.0,-1287.0,3,VER
-7828.984506664698,-1301.3288689841936,3,VER
-8049.91203458675,-1328.4597826406816,3,VER
-8102.0,-1335.0,3,VER
-8200.15130773584,-1347.9632266947874,3,VER
-8251.0,-1355.0,3,VER
-8340.291511071071,-1367.0737235528645,3,VER
-8546.0,-1395.0,3,VER
-8585.121113784548,-1400.4709603609997,3,VER
-8660.0,-1411.0,3,VER
-8839.0,-1436.0,3,VER
-8883.629360320016,-1442.578044118082,3,VER
-9084.771621628526,-1474.089553340086,3,VER
-9096.0,-1476.0,3,VER
-9201.225421688787,-1495.6113775449505,3,VER
-9316.0,-1523.0,4,VER
-9376.332830330442,-1539.289575032439,4,VER
-9502.0,-1576.0,4,VER
-9634.018353769508,-1617.1719867457161,4,VER
-9750.0,-1654.0,4,VER
-9825.147549121246,-1677.834582299957,4,VER
-9993.0,-1730.0,4,VER
-10031.566525251314,-1741.0479234742381,4,VER
-10084.984425319924,-1754.6644763845995,4,VER
-10169.0,-1786.0,4,VER
-10172.148501408785,-1787.4472658228894,4,VER
-10250.723451180125,-1827.3389367278933,4,VER
-10273.0,-1841.0,4,VER
-10315.842744766493,-1876.7219394623455,4,VER
-10340.0,-1910.0,4,VER
-10349.898427295098,-1926.9797120733342,4,VER
-10384.0,-2003.0,4,VER
-10388.591744069256,-2016.1842281262188,4,VER
-10411.364783278854,-2100.8413369901527,4,VER
-10432.0,-2181.0,4,VER
-10461.0,-2264.0,4,VER
-10466.185282714056,-2275.621537050191,4,VER
-10502.0,-2342.0,4,VER
-10513.9731739369,-2360.3609811959213,4,VER
-10574.38737324821,-2433.276625478814,4,VER
-10579.0,-2438.0,4,VER
-10587.0,-2446.0,4,VER
-10727.79144821638,-2553.2722838041072,4,VER
-10786.0,-2592.0,5,NOR
-10820.787751443471,-2614.116567807009,5,NOR
-10901.0,-2660.0,5,NOR
-10913.35264032303,-2667.0440110037057,5,NOR
-10990.0,-2711.0,5,NOR
-11033.234522885577,-2735.9439776855183,5,NOR
-11161.0,-2810.0,5,NOR
-11255.228015797893,-2864.5026887751274,5,NOR
-11297.0,-2889.0,5,NOR
-11339.110660133178,-2914.269597260057,5,NOR
-11402.0,-2955.0,5,NOR
-11443.989530051875,-2984.6687558204762,5,NOR
-11527.543184803637,-3048.7592098472637,5,NOR
-11562.0,-3079.0,5,NOR
-11598.0,-3115.0,5,NOR
-11601.734635277835,-3119.2519858907817,5,NOR
-11743.057895226146,-3331.5895851008786,5,NOR
-11761.0,-3363.0,5,NOR
-11784.469636368342,-3408.994703711511,5,NOR
-11807.0,-3473.0,5,NOR
-11816.407749992002,-3498.4227639499804,5,NOR
-11856.786908501403,-3606.1928391189504,5,NOR
-11860.0,-3615.0,5,NOR
-11906.0,-3745.0,5,NOR
-11938.526065716209,-3834.6714215431502,5,NOR
-11968.0,-3914.0,5,NOR
-11982.396444448685,-3952.4692259368417,6,NOR
-12037.541874513168,-4098.91009534285,6,NOR
-12058.0,-4153.0,6,NOR
-12094.288863504022,-4248.306838302615,6,NOR
-12104.0,-4274.0,6,NOR
-12149.330050352173,-4395.068141267529,6,NOR
-12191.0,-4506.0,6,NOR
-12224.211617571382,-4593.5988647795375,6,NOR
-12233.0,-4617.0,6,NOR
-12305.0,-4812.0,6,NOR
-12312.20612943666,-4831.278049171051,6,NOR
-12382.630444657349,-5016.413584631934,6,NOR
-12401.0,-5066.0,6,NOR
-12427.0,-5137.0,6,NOR
-12434.56504954793,-5157.115769665283,6,NOR
-12482.0,-5280.0,6,NOR
-12510.057376888413,-5354.117316404809,6,NOR
-12563.079473304237,-5497.291830153946,6,NOR
-12590.0,-5570.0,6,NOR
-12641.059279139074,-5706.57837308568,6,NOR
-12672.0,-5789.0,7,VER
-12678.702411829361,-5806.879988314036,7,VER
-12724.25616627156,-5928.299006505179,7,VER
-12744.0,-5980.0,7,VER
-12784.0,-6082.0,7,VER
-12796.86271496025,-6114.569006785872,7,VER
-12842.0,-6228.0,7,VER
-12880.288856506819,-6321.565128384827,7,VER
-12908.0,-6388.0,7,VER
-12953.201826431732,-6494.835686699573,7,VER
-12963.0,-6518.0,7,VER
-13036.0,-6691.0,7,VER
-13050.316060738056,-6724.419420277048,7,VER
-13089.0,-6821.0,7,VER
-13097.04969668976,-6844.707892637115,7,VER
-13140.662571586894,-6998.101703808043,7,VER
-13155.0,-7059.0,7,VER
-13171.609259369747,-7177.521682029891,7,VER
-13157.0,-7299.0,7,VER
-13124.583619882012,-7475.223277313689,7,VER
-13113.0,-7532.0,7,VER
-13101.888860498053,-7581.4896901026,7,VER
-13081.0,-7664.0,8,VER
-13073.690035293725,-7696.299030683087,8,VER
-13037.147069992328,-7869.068690821632,8,VER
-13028.0,-7916.0,8,VER
-13019.822185595069,-7971.256075936013,8,VER
-13023.0,-8006.0,8,VER
-13030.01932117654,-8052.138285252528,8,VER
-13042.0,-8106.0,8,VER
-13084.93540599027,-8191.730095146138,8,VER
-13090.0,-8198.0,8,VER
-13198.58256057095,-8305.652455815814,8,VER
-13252.0,-8354.0,8,VER
-13333.87454217562,-8425.59397080992,8,VER
-13391.0,-8473.0,8,VER
-13399.670678563834,-8480.252986890175,8,VER
-13490.165237572604,-8556.453158891563,8,VER
-13546.0,-8604.0,8,VER
-13610.205297984465,-8659.051505986037,8,VER
-13616.0,-8664.0,8,VER
-13707.0,-8741.0,8,VER
-13737.896018723799,-8766.891482081877,8,VER
-13744.0,-8772.0,8,VER
-13897.05808636509,-8900.067770236235,8,VER
-13937.0,-8934.0,8,VER
-13975.966487007086,-8967.662917231739,8,VER
-14029.0,-9016.0,8,VER
-14031.728837322655,-9018.591328345063,8,VER
-14142.0,-9127.0,9,VER
-14146.113108097383,-9131.070303423066,9,VER
-14319.0,-9302.0,9,VER
-14321.775305717212,-9304.748401545756,9,VER
-14403.0,-9385.0,9,VER
-14450.436562192159,-9430.99598234821,9,VER
-14525.0,-9502.0,9,VER
-14527.970008554552,-9504.76126922857,9,VER
-14588.0,-9560.0,9,VER
-14609.98683957526,-9581.002513459836,9,VER
-14697.986454516978,-9668.197329526774,9,VER
-14769.0,-9741.0,9,VER
-14805.184446510213,-9780.211055063559,9,VER
-14828.394953519359,-9812.56521147689,9,VER
-14844.0,-9839.0,9,VER
-14867.118658321837,-9879.921325790066,9,VER
-14876.0,-9897.0,9,VER
-14885.0,-9916.0,9,VER
-14899.92207081473,-9957.08927974515,9,VER
-14910.0,-10000.0,9,VER
-14914.815374356012,-10034.959937655927,9,VER
-14916.0,-10058.0,9,VER
-14911.832484720122,-10110.359101871558,9,VER
-14910.0,-10120.0,9,VER
-14890.53296734459,-10179.377069492624,9,VER
-14884.0,-10193.0,9,VER
-14861.870378891866,-10229.006455535666,9,VER
-14847.0,-10247.0,9,VER
-14811.63747582945,-10281.787318419507,9,VER
-14775.0,-10313.0,9,VER
-14748.396313035566,-10331.897143006097,9,VER
-14722.0,-10345.0,9,VER
-14710.617095554386,-10350.276382707294,9,VER
-14668.0,-10368.0,9,VER
-14654.476726705734,-10372.38217232225,9,VER
-14610.0,-10383.0,9,VER
-14596.106747875769,-10385.498922162516,9,VER
-14556.0,-10391.0,9,VER
-14509.777091191947,-10395.049017788388,9,VER
-14486.0,-10396.0,9,VER
-14384.0,-10392.0,10,VER
-14374.871387596831,-10391.183778417013,10,VER
-14328.0,-10386.0,10,VER
-14282.093156477318,-10379.87106053024,10,VER
-14195.0,-10367.0,10,VER
-14192.302332023479,-10366.586730940118,10,VER
-14130.246479351283,-10356.601521732613,10,VER
-14067.0,-10345.0,10,VER
-14046.951750051043,-10341.170183995604,10,VER
-13985.0,-10329.0,10,VER
-13921.24256095498,-10315.613513413196,10,VER
-13871.0,-10305.0,10,VER
-13738.897692502886,-10277.631996753078,10,VER
-13731.0,-10276.0,10,VER
-13596.0,-10249.0,10,VER
-13592.628841114612,-10248.382393045491,10,VER
-13424.089950731925,-10218.446235967001,10,VER
-13416.0,-10217.0,10,VER
-13311.0,-10198.0,10,VER
-13306.577070653773,-10197.198593132427,10,VER
-13093.0,-10159.0,10,VER
-12939.096440990821,-10133.914018308233,10,VER
-12840.0,-10119.0,10,VER
-12821.689499483498,-10116.162504855034,10,VER
-12786.316571658634,-10110.419131998182,10,VER
-12658.0,-10091.0,10,VER
-12546.692200400481,-10074.285493349542,10,VER
-12498.0,-10067.0,10,VER
-12370.704800909063,-10048.761307271461,11,VER
-12333.0,-10044.0,11,VER
-12265.24400797399,-10034.768661261698,11,VER
-12180.0,-10023.0,11,VER
-11997.0,-9998.0,11,VER
-11945.876984319355,-9991.365411650295,11,VER
-11777.0,-9971.0,11,VER
-11514.0,-9943.0,11,VER
-11508.111588870326,-9942.39737633927,11,VER
-11432.822809601912,-9935.509587365048,11,VER
