Minisector,BOR,STR,Fastest
0,267.8937841542562,268.47393649284857,STR
1,287.0344276355556,287.7305636097965,STR
2,291.90977564024604,295.8779144008556,STR
3,133.32571965748164,132.0718652238234,BOR
4,195.98449907386396,190.1361980969095,BOR
5,253.66014657923097,254.9994392205752,STR
6,139.99204475259637,142.56859696615402,STR
7,207.9056748608919,205.23830518383272,BOR
8,258.1654840674143,256.15592714666667,BOR
9,277.3316762772161,280.1662031558897,STR
10,235.37428795292234,237.4804988121212,STR
11,187.0982578143818,180.69846840734436,BOR
12,194.5774187066481,186.6319114590941,BOR
13,144.7640537532581,137.2758136237383,BOR
14,173.55982241289607,178.22109482940172,STR
15,166.40396375891828,162.5689994276946,BOR
16,221.48235850596993,220.2364771666378,BOR
17,236.13471265904764,238.85212279932776,STR
18,242.91244294603175,243.31747657142856,STR
19,246.99841541624113,231.04154219667112,BOR
20,141.82462917288515,144.0146921576912,STR
21,130.05098510578213,129.77376539349294,BOR
22,170.73318975719994,173.24945668982065,STR
23,152.75665644570708,153.57327975083308,STR
24,229.86932802857865,228.26086997622437,BOR
