Minisector,PIA,HAM,Fastest
0,321.8654399085235,327.45466000761905,HAM
1,329.4979024521212,335.65543864140346,HAM
2,331.3304107579221,333.41734562735934,HAM
3,197.12763619804696,201.76056325304663,HAM
4,136.5090565425883,137.60366284355683,HAM
5,270.5414950306878,268.57464528730156,PIA
6,302.2381946893444,306.95890497934556,HAM
7,313.84660493827164,320.1617011897744,HAM
8,276.6975214866389,281.7519157255336,HAM
9,152.09670057973233,146.16979274455898,PIA
10,229.99371494947843,229.37571643915365,PIA
11,233.30510131490738,229.39877234663186,PIA
12,213.62214822907936,207.99047830479967,PIA
13,272.302165051529,276.8389431931487,HAM
14,305.87395456701887,309.1986581071459,HAM
15,316.9605417066667,322.5966875371313,HAM
16,277.6882989397691,264.40491157755713,PIA
17,223.46749158770442,219.08360620266444,PIA
18,280.53444958758934,281.1459953003948,HAM
19,310.4568482847484,314.20358091152457,HAM
20,321.22678808126983,325.57272727272726,HAM
21,304.71676033830204,307.59848044381334,HAM
22,224.44964731118296,219.02217418589342,PIA
23,271.3212358011255,277.7346204987806,HAM
24,307.1659466024038,309.85291583676184,HAM
25,316.4,,PIA
