Minisector,RUS,ALB,Fastest
0,289.0042733757087,287.3346431302139,RUS
1,308.55310455151084,306.6371540807519,RUS
2,309.3297828730435,312.65224198474186,ALB
3,202.6927814640645,199.26487053736886,RUS
4,236.75151752998306,233.85643454113378,RUS
5,224.62053386035262,226.26928043840485,ALB
6,207.04567057109364,209.5383124937143,ALB
7,229.9788643759674,228.2418786564157,RUS
8,266.8775088556329,271.1161274926722,ALB
9,277.3432524637681,274.04846485781434,RUS
10,172.7854381363861,170.4598515158849,RUS
11,239.45892327147587,242.29773974642245,ALB
12,111.1641201586759,114.19445558777721,ALB
13,224.62052997594938,230.13165703522768,ALB
14,279.92092941966143,279.3783171516206,RUS
15,295.6879933509642,295.2557831232451,RUS
16,218.2679500574752,209.21500067218696,RUS
17,182.9126704360958,184.73536129858934,ALB
18,268.2200490143271,272.87932124667935,ALB
19,294.6961577280412,294.5691634124868,RUS
20,307.43526917160176,306.35667797574604,RUS
21,307.20164571199996,306.7937888437267,RUS
22,272.16582748018783,257.4092847635709,RUS
23,118.79888112152891,122.70322186842017,ALB
24,247.20795238905885,246.96241524661656,RUS
