Minisector,RUS,HAM,Fastest
0,289.0042733757087,288.4696769129634,RUS
1,308.55310455151084,306.42070298543285,RUS
2,309.3297828730435,298.20710448533333,RUS
3,202.6927814640645,196.05681951724088,RUS
4,236.75151752998306,232.50510423087252,RUS
5,224.62053386035262,219.19548739896877,RUS
6,207.04567057109364,211.70966705348658,HAM
7,229.9788643759674,229.42091448465098,RUS
8,266.8775088556329,268.19497478119865,HAM
9,277.3432524637681,270.85095851733337,RUS
10,172.7854381363861,175.6653917945037,HAM
11,239.45892327147587,238.12615545494378,RUS
12,111.1641201586759,117.08306109853343,HAM
13,224.62052997594938,229.68627876591202,HAM
14,279.92092941966143,278.368557814668,RUS
15,295.6879933509642,293.2283331684849,RUS
16,218.2679500574752,213.20008971000115,RUS
17,182.9126704360958,189.76866908490155,HAM
18,268.2200490143271,268.6083172230127,HAM
19,294.6961577280412,293.6167754852174,RUS
20,307.43526917160176,305.23822879945925,RUS
21,307.20164571199996,304.89483055864923,RUS
22,272.16582748018783,278.6079909783689,HAM
23,118.79888112152891,121.35101472788986,HAM
24,247.20795238905885,248.11191166774802,HAM
