Minisector,ANT,LEC,Fastest
0,299.143806699581,290.3844357527841,ANT
1,148.27124537975604,144.64473335025906,ANT
2,228.75538204111615,227.21093906532468,ANT
3,276.90279498512075,285.8270212795601,LEC
4,314.19315264366753,323.9042345084807,LEC
5,311.59545664758605,309.9279657212121,ANT
6,152.4855252171709,146.6067190165632,ANT
7,258.5632730552381,244.64903836845144,ANT
8,121.09343610604827,109.27436549425718,ANT
9,160.83529882848686,169.94770078697707,LEC
10,279.4953602441742,277.2744355244444,ANT
11,301.57970643483,301.19248269180804,ANT
12,226.5909419806349,211.0962191325397,ANT
13,168.58596372931052,168.3321518080277,ANT
14,277.0345455619048,281.3932369748623,LEC
15,313.82923883204626,312.6948468256992,ANT
16,327.5201386821256,327.34647615492065,ANT
17,336.4314541385621,336.41558250086166,ANT
18,338.9408729904762,349.05949214545456,LEC
19,340.11747304450216,351.1347656,LEC
20,194.96255759856217,200.8581017108061,LEC
21,176.43580489537817,181.97314808127905,LEC
22,280.6817143970696,280.6893180360741,LEC
23,312.7387263216213,312.7897261201379,LEC
24,327.0092900281129,324.5961160505397,ANT
25,,321.0,LEC
