Minisector,ANT,ALO,Fastest
0,297.18727655606455,293.6000710983476,ANT
1,310.01188326015034,301.2918877235756,ANT
2,314.6631424363991,306.16733224811173,ANT
3,181.73795362380045,183.1885166450495,ALO
4,204.86242987908287,207.5996332577329,ALO
5,204.38395980026309,208.1511156943159,ALO
6,268.95614331223675,263.73760168054423,ANT
7,254.2787887040063,255.95425246950182,ALO
8,217.87140725589555,212.06072856480725,ANT
9,212.80641173578545,203.32092642538655,ANT
10,133.8668459143813,139.24345783616468,ALO
11,199.51286277534285,204.93447683442778,ALO
12,183.1113760748052,183.38873096407684,ALO
13,253.35512923396826,252.0701973445614,ANT
14,174.62141927909386,177.4316638183205,ALO
15,231.9185204673016,233.20358323378838,ALO
16,280.721720382585,281.01598803957705,ALO
17,292.2789184986679,291.370045076337,ANT
18,282.2292292905216,283.0291510698047,ALO
19,265.20253545385356,263.98580300009786,ANT
20,264.17797213776623,264.06959250290214,ANT
21,262.48565120853544,265.933064579601,ALO
22,228.55169054023463,232.08123348086232,ALO
23,205.55961721303967,200.73130598679757,ANT
24,273.0900421823313,267.97351449896473,ANT
25,290.9666659555555,283.74999893333336,ANT
