Minisector,PIA,LEC,Fastest
0,293.14651088221575,295.04088312844476,LEC
1,304.0032352685939,307.8793441935802,LEC
2,307.84989511350136,310.0053031653333,LEC
3,187.21917168241347,179.26067366089532,PIA
4,210.29955680737325,208.48930299418373,PIA
5,206.29371939309598,201.53896417926657,PIA
6,263.4265671771518,266.5525433837568,LEC
7,257.8325580939122,232.39682871127704,PIA
8,214.39116911458973,211.97465987811142,PIA
9,211.90685509977828,203.29601909855174,PIA
10,142.091069071722,135.87679632862606,PIA
11,203.67793685933808,192.32484592253232,PIA
12,197.02253884834656,187.44814651707935,PIA
13,252.75282963555557,256.32570441849447,LEC
14,182.8349826847129,168.79122134061475,PIA
15,231.93043520693567,238.35424554993662,LEC
16,281.52753779389326,283.3072111070243,LEC
17,290.1623748407326,290.8656046237337,LEC
18,284.6308645488293,277.0881963780601,PIA
19,271.053720520381,260.4436120100756,PIA
20,271.93724757735635,261.21613124763525,PIA
21,265.95093818512834,265.41579640463476,PIA
22,235.42306064375984,218.9066821842717,PIA
23,206.72607466839617,215.57368683166067,LEC
24,269.36683421164577,276.06716444162896,LEC
