Minisector,VER,RUS,Fastest
0,293.57127179415204,293.50661801978134,VER
1,305.21476330857143,305.444129224,RUS
2,306.00955800612047,309.09251789409734,RUS
3,183.8400800705627,190.51937647084213,RUS
4,207.56010171205634,212.5042686456508,RUS
5,204.41704619716714,203.82679243706622,VER
6,265.4221967390846,266.2515069052181,RUS
7,253.37194707587878,264.48144016350716,RUS
8,215.58410068108745,217.77006330180285,RUS
9,211.27662504284618,208.02281721674305,VER
10,137.5280878931813,140.22865765311738,RUS
11,199.8414743325115,198.2961028929715,VER
12,186.36735389043466,181.3791344948148,VER
13,253.22360678203523,255.35697604113162,RUS
14,181.99060983601188,173.3644781081489,VER
15,234.2235500627141,236.2354066742834,RUS
16,279.37042871497584,282.3960672577942,RUS
17,291.3988465200823,292.68825898336564,RUS
18,288.42167149144757,287.6457564677978,VER
19,274.7563621670838,265.7300679793491,VER
20,267.4846153500831,266.20731973675305,VER
21,265.99344471979737,266.18416542376815,RUS
22,235.56926485292385,229.27134181563483,VER
23,205.57027775415318,204.79117312152934,VER
24,269.1423797974773,270.21499968,RUS
25,,285.63749952,RUS
