Minisector,LEC,RUS,Fastest
0,310.7143501654658,306.0064600193016,LEC
1,248.21199267900954,237.20476014679508,LEC
2,135.02347606176048,123.0944855772367,LEC
3,242.68801216678858,237.5653616799093,LEC
4,190.74874493242908,190.95851940225683,RUS
5,255.2014049043117,243.21040590313734,LEC
6,238.64370680412918,227.03002117967156,LEC
7,252.79901778607407,252.88969168957192,RUS
8,292.6334884647619,293.02101467907124,RUS
9,205.6649025423043,201.42554229007223,LEC
10,199.07276312400626,202.66216241730282,RUS
11,277.3375324491228,273.38157557375496,LEC
12,213.54030233357696,210.11899111029186,LEC
13,243.89049728764883,250.45285138153852,RUS
14,293.0176662913179,293.5177825481765,RUS
15,310.15740726857143,309.47138617920155,LEC
16,312.99261628652255,309.00035744,LEC
17,210.29661879542857,203.61799987524518,LEC
18,261.06408881803776,261.6319943264596,RUS
19,298.22967223026455,296.14901186294605,LEC
20,313.6177897112419,312.1980257887061,LEC
21,316.1183959118367,312.7241453059756,LEC
22,146.0466591834001,147.63593009776304,RUS
23,228.24960557606485,235.17925552761903,RUS
24,289.22032166577776,288.0929504833697,LEC
