Minisector,VER,HAD,Fastest
0,323.44350764295353,310.1523725850882,VER
1,246.67733135746033,222.8023448363285,VER
2,124.18738121442819,128.14347456292032,HAD
3,240.93798409384732,231.9995287330798,VER
4,191.70348269796696,182.7872084907491,VER
5,251.27695862289175,240.4582278352928,VER
6,235.8704512191062,221.0844209081664,VER
7,256.9349283752248,257.4749620893424,HAD
8,291.3423724711111,293.72908051395166,HAD
9,214.37520010950516,198.41838355272728,VER
10,192.7272087123707,205.33491052952988,HAD
11,272.350345038002,276.7670487100952,HAD
12,226.32795559461528,210.33124582616,VER
13,249.02141147878788,246.52946279517906,VER
14,292.77215429075346,294.7592067486566,HAD
15,309.8318920725265,317.5828373726338,HAD
16,309.07043630629863,317.28947317572363,HAD
17,213.23095734377173,200.1594821859808,VER
18,255.51693974641537,260.997140820336,HAD
19,295.4484487256219,301.3012803190303,HAD
20,311.1933537202336,317.3248290698925,HAD
21,308.31624662643276,318.5795835369697,HAD
22,157.013046268743,143.13917261567653,VER
23,226.30748340323203,237.3649214506223,HAD
24,286.6940209798758,295.2888751,HAD
25,301.9312496,,VER
