Minisector,RUS,ALO,Fastest
0,272.5694943314286,272.75116154434784,ALO
1,252.32013932009687,238.3336470420052,RUS
2,124.0620412877295,125.31371942984447,ALO
3,162.59609288753106,162.26512110752745,RUS
4,184.0473147119192,199.57963463710576,ALO
5,199.82505707700267,193.7756035567816,RUS
6,263.33294694453053,263.4139812207792,ALO
7,285.3630109647771,283.7954510008318,RUS
8,233.23061154666667,224.18205504296296,RUS
9,150.08017265566139,147.09605964344274,RUS
10,118.88050758560591,119.01676220684675,ALO
11,160.90735530775683,163.3504247646398,ALO
12,247.0707373815204,244.3401632426475,RUS
13,157.2781364615873,153.5334867764026,RUS
14,145.41766910607984,144.82654626046934,RUS
15,106.56236003364133,102.10569744048551,RUS
16,215.39139168889312,227.2278578391375,ALO
17,254.6191523915444,241.13646974962964,RUS
18,128.52858121915804,128.6983260286118,ALO
19,239.01813308440637,237.9804823881459,RUS
20,273.4393386665226,272.76390028387095,RUS
21,200.32750723452506,208.2533261384617,ALO
22,150.76286049084533,144.21422929164376,RUS
23,216.78599623092146,221.40287537042622,ALO
24,230.82513053531338,230.5013710419876,RUS
25,255.875,260.45,ALO
