Minisector,HAD,GAS,Fastest
0,296.9355330581755,304.15355164160155,GAS
1,306.0191194316883,321.71708413415985,GAS
2,310.73227452239587,329.5032636165079,GAS
3,301.1030388187654,310.9306422719198,GAS
4,162.8914080729449,157.8483988969505,HAD
5,211.01734064141417,207.38936937233203,HAD
6,238.0929512025327,232.79437056509636,HAD
7,267.2717636894117,268.23290387764706,GAS
8,250.74254494222222,249.435534382985,HAD
9,158.03527158882946,155.63122011833036,HAD
10,220.77977388571426,219.661374120067,HAD
11,121.80997939126031,123.69936702546035,GAS
12,220.78519349533184,218.37528264874308,HAD
13,159.7539493432222,172.38393672362147,GAS
14,220.61535823580363,206.41119686279524,HAD
15,240.82911128278653,242.79759177696988,GAS
16,264.9325872923521,263.8015128617265,HAD
17,289.66118096761903,287.24034082151263,HAD
18,143.67272426303853,160.74316138617283,GAS
19,162.43977234351624,157.84798255466688,HAD
20,137.32633971646365,134.63044469642472,HAD
21,225.94673219062233,221.44261411474045,HAD
22,262.822777415595,260.1434934409235,HAD
23,249.14894920352964,250.2717785727321,GAS
24,277.3588465181777,274.9429261068307,HAD
25,,288.59374879999996,GAS
