X,Y,Minisector,Fastest
1392.9031602610978,-224.12130151316796,0,HUL
1379.0,-246.0,0,HUL
1302.655009248132,-366.39556063724643,0,HUL
1301.0,-369.0,0,HUL
1187.0,-548.0,0,HUL
1177.5484520393504,-562.8147826476161,0,HUL
1099.458733287419,-684.8489453432308,0,HUL
1027.0,-799.0,0,HUL
983.0,-869.0,0,HUL
935.0587918581982,-944.7150066292991,0,HUL
840.0,-1094.0,0,HUL
688.0,-1334.0,0,HUL
677.9837481649287,-1349.7954674506066,0,HUL
547.7539249656936,-1554.2937179969556,0,HUL
497.0,-1634.0,0,HUL
465.413645010798,-1683.8071634084984,0,HUL
386.801305684197,-1808.2505711859726,1,HUL
361.0,-1849.0,1,HUL
317.65578375334644,-1917.3565619693968,1,HUL
288.0,-1964.0,1,HUL
205.0,-2094.0,1,HUL
164.45046707408363,-2157.6457880964545,1,HUL
31.0,-2368.0,1,HUL
-11.438890162166079,-2435.563419223467,1,HUL
-51.0,-2498.0,1,HUL
-79.9646241511683,-2542.770050034212,1,HUL
-159.0,-2663.0,1,HUL
-185.23745408428724,-2702.658992123224,1,HUL
-300.1912119397454,-2876.4465224422092,1,HUL
-311.0,-2893.0,1,HUL
-339.0,-2936.0,1,HUL
-375.49189857498277,-2991.341358422421,1,HUL
-452.56521798059947,-3106.8355432126127,1,HUL
-454.0,-3109.0,1,HUL
-549.0,-3253.0,1,HUL
-566.6654378352005,-3279.5173694260448,1,HUL
-674.0,-3439.0,2,HUL
-682.2000242349492,-3451.2163526665036,2,HUL
-761.0,-3569.0,2,HUL
-798.5245068374257,-3625.1217656521967,2,HUL
-848.0,-3699.0,2,HUL
-892.4252708824293,-3765.0740484951307,2,HUL
-955.0,-3858.0,2,HUL
-1139.0,-4132.0,2,HUL
-1156.0335973369781,-4157.444244432702,2,HUL
-1254.0,-4304.0,2,HUL
-1263.3366425376987,-4317.868970126202,2,HUL
-1418.0,-4547.0,2,HUL
-1489.8577447496964,-4653.0675471571185,2,HUL
-1610.0,-4833.0,2,HUL
-1617.117827716653,-4843.999701839339,2,HUL
-1772.0,-5089.0,3,HUL
-1789.2851800854178,-5117.145472281007,3,HUL
-1852.0,-5221.0,3,HUL
-1888.5211333978616,-5283.063108709995,3,HUL
-1989.0,-5459.0,3,HUL
-2121.736214779328,-5692.0104907885225,3,HUL
-2124.0,-5696.0,3,HUL
-2183.0741443401494,-5803.08867859725,3,HUL
-2189.0,-5814.0,3,HUL
-2338.316977174865,-6084.014949106816,3,HUL
-2340.0,-6087.0,3,HUL
-2434.730786614522,-6249.788091835691,3,HUL
-2450.0,-6275.0,3,HUL
-2493.1867905881522,-6345.234349638048,3,HUL
-2517.0,-6383.0,3,HUL
-2580.0,-6478.0,4,HUL
-2619.7105719571177,-6533.471051191848,4,HUL
-2654.0,-6580.0,4,HUL
-3016.287259021672,-6930.675751352077,4,HUL
-3041.0,-6941.0,4,HUL
-3170.0,-6987.0,4,HUL
-3177.0949688161195,-6989.152904716792,4,HUL
-3233.5838748258507,-6995.349723310585,4,HUL
-3244.0,-6995.0,4,HUL
-3316.157805628602,-6991.704508256432,4,HUL
-3327.0,-6990.0,4,HUL
-3465.8521464041996,-6951.375440550641,4,HUL
-3476.0,-6948.0,4,HUL
-3530.806405629487,-6927.578412680658,4,HUL
-3587.0,-6900.0,4,HUL
-3599.8575770408556,-6893.830452089099,4,HUL
-3648.0,-6871.0,4,HUL
-3677.868809732174,-6857.103957783052,4,HUL
-3718.0,-6839.0,4,HUL
-3808.6746246041776,-6801.768325715515,4,HUL
-3845.0,-6790.0,4,HUL
-3897.4110112054277,-6776.957408449231,4,HUL
-3926.0,-6772.0,4,HUL
-3988.8359276812325,-6766.848377419249,4,HUL
-4009.0,-6767.0,4,HUL
-4084.748131257628,-6774.95296314666,4,HUL
-4096.0,-6777.0,4,HUL
-4165.0,-6794.0,4,HUL
-4271.0,-6833.0,5,RUS
-4293.7685921558095,-6842.923109239822,5,RUS
-4342.0,-6867.0,5,RUS
-4359.311992355457,-6876.621108312056,5,RUS
-4499.2504898848265,-6962.941707772912,5,RUS
-4537.0,-6988.0,5,RUS
-4593.6063888485305,-7027.021194556322,5,RUS
-4705.0,-7108.0,5,RUS
-4710.991431023713,-7112.432321703792,5,RUS
-4761.800269326231,-7150.920213180257,5,RUS
-4850.592467172672,-7206.17018667035,5,RUS
-4885.0,-7226.0,5,RUS
-4998.500793496723,-7290.407038252291,5,RUS
-5035.0,-7311.0,5,RUS
-5095.817068137619,-7345.036384737766,5,RUS
-5137.0,-7360.0,5,RUS
-5264.076122340691,-7402.005120421757,5,RUS
-5376.0,-7435.0,5,RUS
-5481.357414672115,-7453.178736429565,5,RUS
-5551.0,-7455.0,5,RUS
-5610.567835222663,-7455.0877340525785,5,RUS
-5666.0,-7453.0,5,RUS
-5767.0,-7441.0,5,RUS
-5836.728647363984,-7427.940755320667,5,RUS
-5909.0,-7410.0,6,RUS
-5980.170873563373,-7388.108934488972,6,RUS
-6055.0,-7360.0,6,RUS
-6123.648299895783,-7328.393868905498,6,RUS
-6248.0,-7255.0,6,RUS
-6257.158070440888,-7248.696575021756,6,RUS
-6342.0,-7183.0,6,RUS
-6390.0,-7138.0,6,RUS
-6449.630705369673,-7073.914101895685,6,RUS
-6502.0,-7003.0,6,RUS
-6536.390276964812,-6947.181841291571,6,RUS
-6627.0,-6775.0,6,RUS
-6649.269385532194,-6726.995796169624,6,RUS
-6677.0,-6631.0,6,RUS
-6690.853369738579,-6564.876143427582,6,RUS
-6720.894537282508,-6401.509964343913,6,RUS
-6724.0,-6382.0,6,RUS
-6735.058695861738,-6292.173678783167,6,RUS
-6734.153985033957,-6205.869056264375,6,RUS
-6733.0,-6169.0,6,RUS
-6728.119925885043,-6041.198356056277,6,RUS
-6728.0,-6039.0,6,RUS
-6723.0,-5967.0,7,RUS
-6715.553876910952,-5897.290949173714,7,RUS
-6701.0,-5794.0,7,RUS
-6674.0,-5634.0,7,RUS
-6656.144901670544,-5548.303156363615,7,RUS
-6632.0,-5446.0,7,RUS
-6606.698274612655,-5351.081185617822,7,RUS
-6596.0,-5317.0,7,RUS
-6524.505489300514,-5123.599142882353,7,RUS
-6499.0,-5064.0,7,RUS
-6412.307445059578,-4899.2982668647155,7,RUS
-6339.987733917898,-4786.522589271744,7,RUS
-6339.0,-4785.0,7,RUS
-6280.384170744669,-4695.904515093618,7,RUS
-6227.588502571975,-4619.533565916713,7,RUS
-6218.0,-4606.0,7,RUS
-6146.0,-4506.0,7,RUS
-6120.618189033397,-4471.1263308007265,7,RUS
-6056.0,-4381.0,7,RUS
-6030.314768742342,-4343.276929601035,7,RUS
-5922.381595007724,-4174.309628479518,8,HUL
-5913.0,-4159.0,8,HUL
-5854.078676763087,-4059.2770775185095,8,HUL
-5768.0,-3913.0,8,HUL
-5690.529814577271,-3785.836644542269,8,HUL
-5655.0,-3728.0,8,HUL
-5619.145482819253,-3671.440810535393,8,HUL
-5600.0,-3644.0,8,HUL
-5525.734665403235,-3535.1751952919085,8,HUL
-5487.0,-3478.0,8,HUL
-5423.003048289965,-3382.873341703807,8,HUL
-5384.0,-3327.0,8,HUL
-5354.0,-3286.0,8,HUL
-5347.731660514658,-3277.495071563632,8,HUL
-5277.130604705641,-3182.44458247399,8,HUL
-5234.0,-3129.0,8,HUL
-5206.491734777158,-3097.5877281716444,8,HUL
-5169.0,-3058.0,8,HUL
-5103.59941796096,-2996.88053141825,8,HUL
-5089.0,-2984.0,8,HUL
-4984.924042555353,-2911.9332830919657,8,HUL
-4983.0,-2911.0,8,HUL
-4880.0,-2866.0,9,RUS
-4804.106158834907,-2842.9646502954542,9,RUS
-4774.0,-2842.0,9,RUS
-4745.334750752652,-2840.245609355324,9,RUS
-4693.0,-2838.0,9,RUS
-4630.0,-2844.0,9,RUS
-4588.591303439178,-2853.7470216194497,9,RUS
-4482.0,-2886.0,9,RUS
-4474.859595329298,-2888.4071599479726,9,RUS
-4430.808867938489,-2907.47391376995,9,RUS
-4400.0,-2929.0,9,RUS
-4389.184565207385,-2936.314720637948,9,RUS
-4349.0,-2964.0,9,RUS
-4338.82766397334,-2971.6814292692484,9,RUS
-4290.0,-3019.0,9,RUS
-4277.850149851326,-3032.9792075902305,9,RUS
-4185.18822216026,-3147.8323520723566,9,RUS
-4179.0,-3156.0,9,RUS
-4154.213954760206,-3193.425182217575,9,RUS
-4143.0,-3216.0,9,RUS
-4101.855861499158,-3300.9480809117417,9,RUS
-4079.0,-3358.0,9,RUS
-4067.619513571851,-3393.5870352901834,9,RUS
-4055.0,-3441.0,9,RUS
-4044.6321766720953,-3485.5802773277574,9,RUS
-4039.0,-3518.0,9,RUS
-4027.6995613413646,-3656.4983901871997,9,RUS
-4027.0,-3681.0,9,RUS
-4028.80785780868,-3750.3738961178287,9,RUS
-4036.0,-3809.0,9,RUS
-4037.0976109357275,-3816.389249885891,9,RUS
-4057.0,-3916.0,9,RUS
-4067.999800253859,-3953.229473919603,9,RUS
-4112.476803551798,-4075.663631002014,9,RUS
-4146.0,-4156.0,10,HUL
-4171.678743673645,-4208.941255927845,10,HUL
-4223.846880685015,-4289.296856029276,10,HUL
-4225.0,-4291.0,10,HUL
-4278.137684973252,-4368.900796952077,10,HUL
-4331.0,-4445.0,10,HUL
-4389.0,-4526.0,10,HUL
-4396.38293840931,-4536.183286219577,10,HUL
-4494.0,-4670.0,10,HUL
-4552.39856980153,-4749.3137105221995,10,HUL
-4590.423429014654,-4800.66477038333,10,HUL
-4625.0,-4848.0,10,HUL
-4666.6667129544585,-4905.275519660181,10,HUL
-4758.0,-5031.0,10,HUL
-4771.248553767302,-5049.168393491283,10,HUL
-4813.0,-5106.0,10,HUL
-4849.968876944869,-5156.714937397743,10,HUL
-4945.0,-5289.0,10,HUL
-4968.331720243218,-5322.632603439483,10,HUL
-4994.0,-5361.0,10,HUL
-5023.014617889355,-5405.859635758267,10,HUL
-5083.0,-5501.0,10,HUL
-5097.174018031818,-5524.063040795036,10,HUL
-5108.478461847173,-5545.145086455784,10,HUL
-5111.0,-5550.0,10,HUL
-5140.0,-5607.0,11,RUS
-5153.676187408319,-5636.5516721193,11,RUS
-5198.0,-5745.0,11,RUS
-5211.979694391891,-5790.807625464705,11,RUS
-5215.0,-5809.0,11,RUS
-5223.310246695121,-5902.078787677887,11,RUS
-5224.0,-5962.0,11,RUS
-5214.4176237671245,-6020.393255001922,11,RUS
-5198.0,-6058.0,11,RUS
-5182.814858618884,-6087.501922339383,11,RUS
-5168.0,-6111.0,11,RUS
-5156.838892731563,-6126.087895779535,11,RUS
-5113.0,-6171.0,11,RUS
-5108.616179229794,-6174.454584000808,11,RUS
-5057.0,-6209.0,11,RUS
-5052.793008642496,-6211.442126574696,11,RUS
-5013.671681474141,-6228.956133420545,11,RUS
-4992.0,-6235.0,11,RUS
-4909.176791374366,-6249.896202342434,11,RUS
-4908.0,-6250.0,11,RUS
-4849.0,-6251.0,11,RUS
-4813.533953459808,-6248.311261981297,11,RUS
-4775.0,-6243.0,11,RUS
-4763.821562398301,-6241.009001030739,11,RUS
-4719.0,-6231.0,11,RUS
-4668.0,-6216.0,11,RUS
-4662.702415210657,-6214.289048632758,11,RUS
-4600.0,-6192.0,11,RUS
-4594.629724020422,-6189.847975140963,11,RUS
-4545.0,-6168.0,11,RUS
-4505.18728596429,-6148.8370549764,11,RUS
-4398.0,-6094.0,11,RUS
-4333.438880858525,-6058.470316317845,11,RUS
-4307.0,-6044.0,11,RUS
-4277.1755310283015,-6027.9625048173,11,RUS
-4242.0,-6009.0,11,RUS
-4139.485223210649,-5952.571460067135,11,RUS
-4129.0,-5947.0,11,RUS
-4053.0,-5908.0,11,RUS
-4044.7257076295027,-5903.838476023926,12,HUL
-3933.0,-5849.0,12,HUL
-3903.197750273516,-5834.918897863587,12,HUL
-3829.0,-5801.0,12,HUL
-3783.2432012770223,-5781.244001107032,12,HUL
-3686.0,-5741.0,12,HUL
-3528.5076914776273,-5675.395014224271,12,HUL
-3492.0,-5660.0,12,HUL
-3427.1680789103916,-5631.927154831761,12,HUL
-3365.0,-5600.0,12,HUL
-3302.675996356028,-5567.97190811447,12,HUL
-3274.0,-5552.0,12,HUL
-3144.428395606049,-5472.10894178257,12,HUL
-3050.0,-5410.0,12,HUL
-2954.0991643682605,-5339.649630418793,12,HUL
-2891.0,-5283.0,12,HUL
-2883.2440654437896,-5275.963450232028,12,HUL
-2810.0,-5208.0,12,HUL
-2781.732182502832,-5179.816548345964,12,HUL
-2670.0,-5056.0,12,HUL
-2616.0,-4992.0,12,HUL
-2585.561891425794,-4953.89656121258,12,HUL
-2514.0,-4856.0,13,HUL
-2462.414182687779,-4782.318387575194,13,HUL
-2377.0,-4659.0,13,HUL
-2358.1092423469713,-4631.714806401414,13,HUL
-2306.2890705671493,-4556.673143331617,13,HUL
-2283.0,-4522.0,13,HUL
-2211.0,-4415.0,13,HUL
-2201.3952048540755,-4401.265184631378,13,HUL
-2165.0,-4339.0,13,HUL
-2159.409616736668,-4326.3543049600485,13,HUL
-2100.0,-4171.0,13,HUL
-2082.995382053547,-4119.723743456592,13,HUL
-2079.214536976314,-4075.475846315631,13,HUL
-2084.0,-4041.0,13,HUL
-2083.3637563219504,-3995.79885891501,13,HUL
-2083.0,-3950.0,13,HUL
-2088.566682397703,-3879.2139474106284,13,HUL
-2092.0,-3855.0,13,HUL
-2106.0,-3789.0,13,HUL
-2115.621877660191,-3760.015780279635,13,HUL
-2152.0,-3687.0,13,HUL
-2210.3419269822466,-3616.304332596764,13,HUL
-2292.0,-3540.0,13,HUL
-2337.7257720040257,-3503.7720391453563,13,HUL
-2373.071962218293,-3480.9162876958408,13,HUL
-2405.0,-3459.0,13,HUL
-2473.8576243037983,-3408.894797218844,13,HUL
-2475.0,-3408.0,13,HUL
-2490.0,-3396.0,13,HUL
-2549.2353066727005,-3345.365707485501,13,HUL
-2565.0,-3331.0,13,HUL
-2664.0,-3224.0,14,RUS
-2694.2229715340472,-3181.1448071389264,14,RUS
-2756.538090338404,-3081.6977057593617,14,RUS
-2764.0,-3069.0,14,RUS
-2806.9104156217263,-2988.409553668972,14,RUS
-2850.0,-2889.0,14,RUS
-2858.3287838605825,-2870.058189597032,14,RUS
-2904.0,-2768.0,14,RUS
-2917.934492734587,-2737.923888898432,14,RUS
-2967.0,-2635.0,14,RUS
-3034.430967675687,-2493.736341927313,14,RUS
-3049.0,-2463.0,14,RUS
-3108.0,-2337.0,14,RUS
-3117.326993832638,-2317.316384014116,14,RUS
-3210.3062582152625,-2123.198531466402,14,RUS
-3217.0,-2109.0,14,RUS
-3263.0,-2011.0,14,RUS
-3304.0147458926654,-1926.4463563943232,14,RUS
-3311.0,-1912.0,14,RUS
-3371.0,-1786.0,14,RUS
-3396.297783992589,-1732.7560713964067,14,RUS
-3440.0,-1618.0,15,RUS
-3452.060249602221,-1577.743075899514,15,RUS
-3492.0,-1429.0,15,RUS
-3514.745268108846,-1273.3296037880505,15,RUS
-3507.0,-1192.0,15,RUS
-3499.0,-1081.0,15,RUS
-3493.9962255423507,-1041.6830465350376,15,RUS
-3482.0,-973.0,15,RUS
-3443.0,-816.0,15,RUS
-3430.975351048299,-779.4917711585,15,RUS
-3369.0,-630.0,15,RUS
-3318.0,-537.0,15,RUS
-3302.3916361901397,-513.4007892470838,15,RUS
-3206.0,-391.0,15,RUS
-3167.0,-355.0,15,RUS
-3069.377590565338,-284.65586112952576,15,RUS
-3055.0,-276.0,15,RUS
-2902.0,-202.0,15,RUS
-2812.4117086751676,-165.7141830851417,15,RUS
-2731.0,-134.0,16,RUS
-2680.1445008350424,-113.93690504263992,16,RUS
-2561.0,-65.0,16,RUS
-2525.0336675346666,-49.11128157602814,16,RUS
-2470.0,-24.0,16,RUS
-2238.2683313400344,84.3927172592999,16,RUS
-2220.0,93.0,16,RUS
-2045.986129857357,175.33050380231623,16,RUS
-1937.0,227.0,16,RUS
-1818.4584330967155,283.11584888397516,16,RUS
-1675.0,351.0,16,RUS
-1654.465465174346,360.72466682947993,16,RUS
-1545.4772228416348,412.39660695527004,16,RUS
-1521.0,424.0,16,RUS
-1380.0,491.0,16,RUS
-1352.7108627483783,504.089175292867,16,RUS
-1235.3610919175742,560.9464903614937,16,RUS
-1138.0,609.0,16,RUS
-1102.2082711824505,626.9388499812876,16,RUS
-1059.0,649.0,17,HUL
-815.0,778.0,17,HUL
-788.2006452711194,792.2873674260359,17,HUL
-656.0,863.0,17,HUL
-621.022259383084,881.6389167453514,17,HUL
-408.0,995.0,17,HUL
-290.0,1058.0,17,HUL
-261.9456535840938,1072.9049992290218,17,HUL
-126.0,1145.0,17,HUL
-54.24707063657938,1183.5165382244977,17,HUL
23.0,1225.0,17,HUL
143.0,1289.0,17,HUL
179.10006560277535,1308.6205275927946,17,HUL
366.725112876397,1405.9319637406838,17,HUL
371.0,1408.0,17,HUL
569.0,1502.0,17,HUL
671.2554244451694,1548.9379259389361,17,HUL
866.913108346436,1624.6062036583203,18,HUL
868.0,1625.0,18,HUL
946.8478267190552,1655.207682911393,18,HUL
1031.0,1691.0,18,HUL
1119.022830223279,1729.9870972474155,18,HUL
1152.0,1745.0,18,HUL
1205.959114205675,1770.6840382716805,18,HUL
1278.58469511571,1815.9779702136025,18,HUL
1288.0,1823.0,18,HUL
1348.2007720716924,1871.3236513225859,18,HUL
1366.0,1888.0,18,HUL
1412.9939266861822,1946.5282454538108,18,HUL
1449.0,2027.0,18,HUL
1452.8788476498842,2037.631372571168,18,HUL
1459.0,2067.0,18,HUL
1461.3039829762329,2093.2823034446624,18,HUL
1461.0,2180.0,18,HUL
1459.2911451053633,2192.309378235254,18,HUL
1454.0,2219.0,18,HUL
1438.0,2275.0,18,HUL
1431.9954073433753,2291.453234067927,18,HUL
1399.0,2359.0,18,HUL
1384.2249056674236,2383.059121237725,18,HUL
1348.0174394887042,2435.216417883356,18,HUL
1338.0,2448.0,18,HUL
1291.5844532581639,2498.063742767592,18,HUL
1248.0,2536.0,18,HUL
1214.6909744419843,2560.674516201627,18,HUL
1186.0,2577.0,18,HUL
1110.8988716809201,2610.906403731204,18,HUL
1097.0,2616.0,18,HUL
911.0,2655.0,19,RUS
890.5702036643527,2657.159494385209,19,RUS
842.0,2660.0,19,RUS
715.585640132377,2654.7101585109813,19,RUS
696.0,2653.0,19,RUS
643.4751361021137,2645.7749761880727,19,RUS
600.0,2636.0,19,RUS
543.8618328435984,2622.0997792711073,19,RUS
493.0,2606.0,19,RUS
438.7290994331144,2584.7144522165895,19,RUS
338.0,2539.0,19,RUS
314.492249329335,2527.540855138478,19,RUS
233.1409868093203,2479.5552450402415,19,RUS
210.0,2464.0,19,RUS
97.11841134501883,2385.752176573857,19,RUS
47.0,2350.0,19,RUS
9.130425691986854,2321.2263336153264,19,RUS
-45.0,2287.0,19,RUS
-55.1638448066181,2281.6147760827093,19,RUS
-230.0,2192.0,19,RUS
-258.5882102413962,2178.14960582718,19,RUS
-324.0,2159.0,19,RUS
-375.24947571554367,2148.35627291282,19,RUS
-499.0,2125.0,19,RUS
-568.1768854430408,2119.2348569108635,19,RUS
-645.0,2126.0,20,RUS
-702.7639864751272,2135.6809881858358,20,RUS
-718.0,2139.0,20,RUS
-759.0,2151.0,20,RUS
-773.0370112008918,2156.7994316992567,20,RUS
-879.0,2217.0,20,RUS
-883.8817562041419,2220.3316744998365,20,RUS
-935.4972516422343,2272.3516438774486,20,RUS
-936.0,2273.0,20,RUS
-982.0,2336.0,20,RUS
-988.0332743820293,2345.6324619491797,20,RUS
-1013.0,2399.0,20,RUS
-1020.8028132079745,2423.6271848924134,20,RUS
-1043.0,2510.0,20,RUS
-1046.7744313807507,2526.7574224688838,20,RUS
-1050.0,2567.0,20,RUS
-1050.4072701062257,2604.6383891980486,20,RUS
-1050.0,2627.0,20,RUS
-1045.0522243897815,2687.3425799973425,20,RUS
-1043.0,2702.0,20,RUS
-1017.0,2814.0,20,RUS
-1012.6973832276324,2827.0948644199752,20,RUS
-981.0,2906.0,20,RUS
-978.1858977076712,2911.9713251624953,20,RUS
-944.0,2976.0,20,RUS
-922.0,3011.0,20,RUS
-913.644974862236,3023.6402384073986,20,RUS
-874.0,3079.0,20,RUS
-818.0,3146.0,20,RUS
-786.1019875401172,3179.232363116066,20,RUS
-732.0,3230.0,20,RUS
-694.0363289675491,3263.7643361271066,20,RUS
-642.0,3307.0,20,RUS
-540.0728255899123,3387.3660102394892,20,RUS
-494.0,3423.0,20,RUS
-442.3081527576162,3461.0406387215694,20,RUS
-390.0,3504.0,21,HUL
-250.0,3622.0,21,HUL
-219.02288276110664,3648.3028727716965,21,HUL
-169.89458727977285,3690.91306006042,21,HUL
-151.0,3707.0,21,HUL
-109.20101993313521,3742.281346336768,21,HUL
-57.0,3786.0,21,HUL
70.0,3889.0,21,HUL
108.99962873347764,3918.394320592025,21,HUL
184.0,3972.0,21,HUL
298.0152054354289,4042.0796380018464,21,HUL
329.0,4056.0,21,HUL
429.33091344137273,4093.072836988303,21,HUL
516.0,4120.0,21,HUL
552.0737922279645,4129.628262029114,21,HUL
670.0,4140.0,21,HUL
730.2795246642036,4137.943311162681,21,HUL
863.0,4126.0,21,HUL
874.9664038451957,4124.1701193687595,21,HUL
973.0,4104.0,21,HUL
1038.5679565883609,4085.848481995652,21,HUL
1081.0,4072.0,21,HUL
1188.0,4030.0,22,RUS
1276.7104797126574,3989.91558162278,22,RUS
1317.0,3970.0,22,RUS
1480.0,3879.0,22,RUS
1525.364600598854,3851.9584877318907,22,RUS
1616.0,3796.0,22,RUS
1660.2315744516295,3768.0024666711925,22,RUS
1834.9601512924055,3655.5076592103655,22,RUS
1876.0,3629.0,22,RUS
1977.0,3564.0,22,RUS
1996.1176694592898,3551.7631622317335,22,RUS
2100.6512987555134,3485.0128623959918,22,RUS
2129.0,3467.0,22,RUS
2244.0,3393.0,22,RUS
2343.7001697965707,3322.8241400468164,22,RUS
2488.0,3212.0,22,RUS
2548.591093732083,3159.3786851299105,22,RUS
2654.0,3048.0,22,RUS
2736.5753638105857,2939.52053480133,23,RUS
2738.0,2937.0,23,RUS
2831.0533101738138,2736.319385730625,23,RUS
2832.0,2734.0,23,RUS
2854.444195825718,2658.434020725074,23,RUS
2858.0,2639.0,23,RUS
2878.4367971259035,2554.8549308346455,23,RUS
2885.0,2390.0,23,RUS
2859.0,2181.0,23,RUS
2851.8679357228893,2129.1627596592266,23,RUS
2802.795632534859,2000.7771981119772,23,RUS
2792.0,1980.0,23,RUS
2696.0,1793.0,23,RUS
2687.106586680501,1775.9857177265587,23,RUS
2616.170876120433,1652.5643472356767,23,RUS
2568.0,1584.0,23,RUS
2480.0,1450.0,23,RUS
2473.198879710419,1439.6126519696882,23,RUS
2383.0,1302.0,24,HUL
2344.4141626642354,1242.9265242376205,24,HUL
2237.5067592640235,1078.7577684399123,24,HUL
2211.0,1038.0,24,HUL
2171.077090458274,976.532710688006,24,HUL
2129.02844137206,911.5894152008822,24,HUL
2128.0,910.0,24,HUL
2036.0,768.0,24,HUL
2028.8959325256274,757.0947538096692,24,HUL
1962.1984880386542,655.1359700064153,24,HUL
1951.0,638.0,24,HUL
1845.852385476344,476.70872018676283,24,HUL
1771.0,362.0,24,HUL
1722.3340067032643,288.40830926681616,24,HUL
1653.0,181.0,24,HUL
1523.0,-22.0,24,HUL
1500.3538981659442,-57.406907890063295,24,HUL
1444.429181993849,-145.14809651681028,24,HUL
1426.0,-174.0,24,HUL
1405.521964792051,-205.99139331972154,24,HUL
