Minisector,HAM,ALO,Fastest
0,252.37132080529685,248.77384104085237,HAM
1,288.08414703238094,286.4922116850017,HAM
2,181.29675380743498,163.2409804989399,HAM
3,155.00061157803174,155.3433466268216,ALO
4,256.3872006399782,255.41413012752832,HAM
5,276.0830705430303,269.05824499478257,HAM
6,242.95835390085674,238.09988273808003,HAM
7,212.85091726575962,213.48907305385623,ALO
8,154.4203134119472,157.66807675416163,ALO
9,218.13142598463352,217.36221382793264,HAM
10,272.92857509356423,271.6819629549311,HAM
11,127.17181453113196,126.83971515662563,HAM
12,211.01221357219035,208.1683361132207,HAM
13,276.43514438655075,276.16751557163417,HAM
14,298.3856169196505,296.70113813571504,HAM
15,307.1550672650472,306.29696637192984,HAM
16,238.37138613228157,239.98184445003176,ALO
17,128.2908261153879,129.01886776308348,ALO
18,128.70370035502566,127.0035944631279,HAM
19,118.49131602748021,117.93170715196351,HAM
20,227.91446960761903,217.30673108182455,HAM
21,260.5867714052003,260.43611903504603,HAM
22,247.38339456234146,241.8845145607926,HAM
23,222.67968173478457,210.73022281127464,HAM
24,136.09421594965784,135.1027546787413,HAM
25,218.38333333333333,215.8888874666667,HAM
