Minisector,RUS,TSU,Fastest
0,244.40849207505065,249.45692882362303,TSU
1,284.4680790341818,284.7479092099048,TSU
2,181.8553309336312,182.0381457187316,TSU
3,159.20962786166683,157.76550296037672,RUS
4,255.12869014516926,256.0692460319414,TSU
5,264.96192443919716,268.2868110715509,TSU
6,235.41110832245076,233.97351907849622,RUS
7,211.58540100391926,205.20340282875688,RUS
8,161.64891371077314,163.76828428171237,TSU
9,211.31875606471243,216.54303290612248,TSU
10,269.85533969850337,269.05853985229743,RUS
11,129.10306334559542,139.00932133234812,TSU
12,207.4512004511611,209.49219061534862,TSU
13,273.41527931759833,275.2204706904473,TSU
14,296.3018326202398,294.96485526007905,RUS
15,306.9305295829801,304.9730324177778,RUS
16,251.696824213665,244.5330287260165,RUS
17,128.57553744133037,128.21945293537243,RUS
18,128.6068882028163,122.66093148110562,RUS
19,116.774340035008,119.0480745375965,TSU
20,221.56414118115484,222.30305455010563,TSU
21,259.82733592613545,256.6207788526984,RUS
22,239.74624956590077,245.80480732377316,TSU
23,215.8748397423029,218.7445408639989,TSU
24,138.84887136305787,132.48109608226335,RUS
25,,213.4375024,TSU
