X,Y,Minisector,Fastest
-1311.711343120593,-406.5026269207683,0,TSU
-1214.0,-482.0,0,TSU
-1125.120847333689,-550.2127346086238,0,TSU
-992.0,-652.0,0,TSU
-956.3569485034569,-679.2897665206433,0,TSU
-871.0877006531402,-744.5883209051173,0,TSU
-847.0,-763.0,0,TSU
-686.0,-886.0,0,TSU
-658.3496773658838,-907.134452664941,0,TSU
-550.9950901293877,-989.4218000217171,0,TSU
-510.0,-1021.0,0,TSU
-409.74602299371753,-1098.2291739845177,0,TSU
-376.0,-1124.0,0,TSU
-285.0,-1193.0,0,TSU
-250.48236355060376,-1219.5177897246556,0,TSU
-193.0,-1264.0,0,TSU
-33.63329963366816,-1386.902451352235,0,TSU
3.0,-1415.0,0,TSU
56.077574576560906,-1455.4715347246513,0,TSU
145.0,-1523.0,0,TSU
192.45084879746017,-1559.4223950816045,0,TSU
240.0,-1596.0,0,TSU
288.5299562796683,-1633.3196036742431,0,TSU
421.0,-1735.0,1,TSU
436.07467454266697,-1746.5414058942401,1,TSU
555.4232376591608,-1837.7742301701255,1,TSU
629.0,-1894.0,1,TSU
757.614995979833,-1992.354303576048,1,TSU
855.8652796072445,-2067.5709107518646,1,TSU
876.0,-2083.0,1,TSU
1013.0,-2188.0,1,TSU
1100.1654000377391,-2254.454994436246,1,TSU
1177.0,-2313.0,1,TSU
1203.1920141531389,-2332.9723739090605,1,TSU
1329.0,-2429.0,1,TSU
1360.3655338365297,-2452.9507178028334,1,TSU
1520.0,-2575.0,1,TSU
1521.4893534972705,-2576.1419785111025,1,TSU
1758.0,-2758.0,1,TSU
1797.109737529339,-2787.751455494771,1,TSU
1887.0,-2856.0,1,TSU
2028.0,-2964.0,1,TSU
2080.2397631960785,-3003.927493897235,1,TSU
2144.0,-3053.0,2,TSU
2309.313705969259,-3184.2245185136603,2,TSU
2347.0,-3214.0,2,TSU
2411.0,-3264.0,2,TSU
2436.471384336655,-3283.6443242731225,2,TSU
2513.0,-3342.0,2,TSU
2742.0,-3517.0,2,TSU
2768.5151902556836,-3537.6603992277023,2,TSU
2848.083233111183,-3601.361935028302,2,TSU
2911.5872196886057,-3654.7935976638073,2,TSU
2939.0,-3678.0,2,TSU
3012.8060854521786,-3740.704959372384,2,TSU
3051.0,-3773.0,2,TSU
3109.3609881231505,-3821.509288525299,2,TSU
3157.8734149290294,-3861.0024003828057,2,TSU
3164.0,-3866.0,2,TSU
3254.0,-3939.0,2,TSU
3276.2682225860963,-3956.492327556933,2,TSU
3336.0,-4000.0,2,TSU
3368.0,-4019.0,2,TSU
3381.527317738549,-4025.860752948923,2,TSU
3420.0,-4042.0,2,TSU
3532.0,-4069.0,2,TSU
3539.142475985021,-4069.9156051379136,2,TSU
3602.0811028073663,-4073.5286743819192,2,TSU
3613.0,-4073.0,2,TSU
3655.0,-4066.0,2,TSU
3689.0,-4053.0,2,TSU
3702.987604174204,-4045.186945752112,2,TSU
3739.0,-4017.0,2,TSU
3750.0071248206723,-4005.922170037868,2,TSU
3774.5986175756325,-3974.718693792716,2,TSU
3777.0,-3971.0,2,TSU
3795.0,-3936.0,2,TSU
3800.279125156623,-3921.3142842936886,2,TSU
3812.0,-3863.0,2,TSU
3812.960772761409,-3828.6410960691583,3,TSU
3812.0,-3808.0,3,TSU
3806.90867391202,-3747.7370976317598,3,TSU
3805.0,-3729.0,3,TSU
3799.5378848938167,-3680.1894829971898,3,TSU
3799.0,-3676.0,3,TSU
3793.0,-3635.0,3,TSU
3777.0,-3537.0,3,TSU
3774.4447301849377,-3522.2198511634765,3,TSU
3766.7562081072947,-3483.4843896904754,3,TSU
3757.0,-3446.0,3,TSU
3753.844428881623,-3433.801814843464,3,TSU
3743.0,-3394.0,3,TSU
3738.7068185741623,-3380.166340372503,3,TSU
3719.0,-3326.0,3,TSU
3680.0,-3239.0,3,TSU
3679.838667608033,-3238.6477322524697,3,TSU
3641.0,-3154.0,3,TSU
3578.0,-3021.0,3,TSU
3577.783128702318,-3020.544095385036,3,TSU
3541.0,-2940.0,3,TSU
3522.749800648005,-2896.679777308872,3,TSU
3472.5392722346223,-2775.712722737899,3,TSU
3447.0,-2713.0,3,TSU
3420.703765525261,-2645.017628258109,3,TSU
3408.9867508503876,-2605.702698952812,3,TSU
3400.0,-2573.0,3,TSU
3381.906769050473,-2505.440486107865,3,TSU
3369.0,-2459.0,3,TSU
3356.0,-2412.0,3,TSU
3350.0650395108864,-2383.258360688797,3,TSU
3330.0458704643097,-2171.8134805269265,3,TSU
3328.0,-2109.0,3,TSU
3328.451277238631,-2082.540324815317,3,TSU
3337.0,-2031.0,3,TSU
3342.3444871315696,-2001.7784680826085,3,TSU
3367.585048012762,-1864.7991534600267,3,TSU
3387.0,-1783.0,4,TSU
3394.633982373803,-1755.831973333347,4,TSU
3419.0,-1683.0,4,TSU
3451.1728936985946,-1607.6189530500662,4,TSU
3481.0,-1547.0,4,TSU
3535.0,-1449.0,4,TSU
3542.8423819031423,-1435.8432134940258,4,TSU
3636.140877415117,-1299.5265665120887,4,TSU
3644.0,-1290.0,4,TSU
3671.0,-1259.0,4,TSU
3746.570132342173,-1179.3920559796163,4,TSU
3780.0,-1149.0,4,TSU
3851.101178090638,-1090.666728678549,4,TSU
4034.9474856100314,-956.1268179270113,4,TSU
4045.0,-949.0,4,TSU
4196.662427691059,-855.1619412386005,4,TSU
4213.0,-846.0,4,TSU
4274.0,-812.0,4,TSU
4392.357748269786,-750.1014936634197,4,TSU
4471.0,-711.0,4,TSU
4510.44494665005,-690.5552768389372,4,TSU
4616.0,-635.0,4,TSU
4642.664588406291,-621.2511138220608,4,TSU
4798.0,-535.0,4,TSU
4902.203621708989,-462.6649141166338,4,TSU
4946.0,-431.0,4,TSU
5068.0,-339.0,5,BEA
5113.390688871597,-304.73101050805246,5,BEA
5213.0,-228.0,5,BEA
5346.0,-109.0,5,BEA
5346.500970719746,-108.47087655286187,5,BEA
5420.759552549042,-19.008740413181943,5,BEA
5476.0,67.0,5,BEA
5512.763944057538,136.56632723019302,5,BEA
5521.0,152.0,5,BEA
5671.149579001469,416.2713860597117,5,BEA
5679.0,430.0,5,BEA
5740.0,534.0,5,BEA
5788.56471455574,606.7454519052209,5,BEA
5806.0,632.0,5,BEA
5950.0,796.0,5,BEA
5997.619502966276,831.3368746633923,5,BEA
6180.0,944.0,5,BEA
6320.792050703655,1013.8929211969153,5,BEA
6403.825674340156,1053.4469165616838,5,BEA
6412.0,1058.0,5,BEA
6555.0,1196.0,6,BEA
6555.880176805117,1197.339445929773,6,BEA
6684.0,1427.0,6,BEA
6684.662822831902,1428.4067669263436,6,BEA
6730.5453152979535,1581.6648383072559,6,BEA
6740.0,1624.0,6,BEA
6760.0,1705.0,6,BEA
6768.217308590172,1738.6605611868715,6,BEA
6831.0,1981.0,6,BEA
6837.265675495791,2000.4042675598384,6,BEA
