Minisector,ANT,GAS,Fastest
0,298.08341069942855,300.7433271163363,GAS
1,224.60580964699747,184.7997991852392,ANT
2,215.88179158349692,215.73888741443588,ANT
3,276.3720800797166,271.6129528901027,ANT
4,261.0339271732837,236.72886101307637,ANT
5,122.92872855765228,120.6698006384263,ANT
6,198.63653363633335,198.03364260010946,ANT
7,251.12956700350375,241.17256679809523,ANT
8,239.62376024324516,231.81633128561063,ANT
9,239.9801585567753,236.79808015610394,ANT
10,286.91248193593185,289.52169563463576,GAS
11,305.4735189155556,310.33101020173547,GAS
12,317.72630344536566,318.24869313527995,GAS
13,314.2719035324852,313.7853396678213,ANT
14,307.6294067274854,311.0,GAS
15,263.88251192226363,311.0,GAS
16,240.12924073818067,231.25061003916971,ANT
17,281.1363081764182,268.31364134938326,ANT
18,288.2191182440573,289.7512317402898,GAS
19,156.87959282443512,176.99781578534697,GAS
20,200.10540591817912,179.10875183982685,ANT
21,179.5973548885397,189.57066450938336,GAS
22,130.28863841828968,119.2705080015454,ANT
23,237.2003449444953,205.5572980252814,ANT
24,285.88664082984127,284.32415349838686,ANT
25,,299.61062464,GAS
