Minisector,ANT,VER,Fastest
0,245.96909773965606,243.40965125587303,ANT
1,132.2821484973772,139.7420807821131,VER
2,278.12433831316946,280.0404319040353,VER
3,314.8513424656448,308.8107269164886,ANT
4,297.4276648575691,286.43489622888416,ANT
5,319.3621462208482,315.3098398874074,ANT
6,319.62025028739316,321.4435557861696,VER
7,314.14857498239996,313.4829764796537,ANT
8,195.75096566583304,198.11539905896467,VER
9,193.47326002987256,192.7685652517203,ANT
10,178.9269962295439,177.43675709606026,ANT
11,176.79657737853003,171.07427136444232,ANT
12,244.84899266281096,240.82504665259887,ANT
13,263.6548119402181,258.110362356934,ANT
14,256.5713317748515,267.5723391107175,VER
15,247.32755353381467,247.09811303761083,ANT
16,173.74861577895916,177.73982889108996,VER
17,188.14180383740674,189.10103509851075,VER
18,252.00969018448978,235.94166822125447,ANT
19,303.06251678191256,291.40059285314567,ANT
20,325.3612609328655,318.9567534455741,ANT
21,314.1652469814816,303.0936165523254,ANT
22,290.7797749824339,280.2148214728192,ANT
23,250.87342767496747,239.55308340836478,ANT
24,117.79052211171897,123.0000162639245,VER
25,220.4,,ANT
